step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1,2.48416,2.65633,0.09375,1,2.48933,2.6615,0.09375,1,2.50179,2.67396,0.101563,1,2.49605,2.66822,0.078125,1,2.48041,2.65258,0.09375,1,2.48901,2.66118,0.101563,1,2.49254,2.66471,0.0859375,1,2.49679,2.66896,0.09375
101,1.7601,1.93377,0.199219,101,1.79023,1.96418,0.191406,101,1.73023,1.90318,0.199219,101,1.71178,1.88565,0.210938,101,1.69671,1.87143,0.226563,101,1.69341,1.86644,0.230469,101,1.69113,1.86487,0.230469,101,1.75181,1.92631,0.195313
201,1.38209,1.55661,0.289063,201,1.48936,1.66428,0.25,201,1.49952,1.67228,0.283854,201,1.5155,1.68954,0.278646,201,1.33465,1.51083,0.315104,201,1.49088,1.66444,0.291667,201,1.29207,1.46725,0.315104,201,1.4756,1.64996,0.255208
301,1.26818,1.44448,0.357422,301,1.30652,1.48291,0.320313,301,1.43723,1.61022,0.330078,301,1.50017,1.67467,0.320313,301,1.34698,1.52531,0.365234,301,1.45652,1.63084,0.318359,301,1.23781,1.41537,0.373047,301,1.41202,1.58727,0.316406
394,0.947124,1.12611,0.679688,394,1.11017,1.28881,0.585938,394,1.25684,1.43087,0.546875,394,1.21333,1.38912,0.546875,394,0.945666,1.12611,0.617188,394,1.05405,1.2299,0.632813,394,1.00898,1.18889,0.601563,394,1.14243,1.31923,0.578125
494,1.1182,1.30005,0.632813,494,1.16912,1.3511,0.558594,494,1.2589,1.43489,0.539063,494,1.20654,1.38424,0.546875,494,1.01865,1.20173,0.605469,494,1.22257,1.4013,0.589844,494,1.04091,1.22376,0.613281,494,1.28688,1.46615,0.539063
594,0.962989,1.14747,0.638021,594,0.943554,1.12841,0.591146,594,1.21696,1.39511,0.523438,594,1.10353,1.28333,0.552083,594,1.05701,1.24288,0.596354,594,1.2031,1.38382,0.557292,594,0.999931,1.18594,0.622396,594,1.10532,1.28677,0.536458
694,1.04874,1.23659,0.634766,694,0.934804,1.12303,0.613281,694,1.17296,1.35404,0.53125,694,1.0875,1.2701,0.568359,694,1.20149,1.39032,0.603516,694,1.08063,1.26401,0.580078,694,0.974961,1.16457,0.642578,694,1.04998,1.23397,0.552734
787,0.679741,0.871018,0.796875,787,0.737466,0.928862,0.734375,787,0.862052,1.04589,0.671875,787,0.877504,1.06249,0.65625,787,0.701519,0.893417,0.773438,787,0.806433,0.992526,0.734375,787,0.63161,0.824991,0.78125,787,0.846272,1.03292,0.726563
887,0.86111,1.05617,0.726563,887,0.950201,1.14575,0.6875,887,1.10431,1.29163,0.605469,887,1.01316,1.2014,0.652344,887,0.75465,0.95052,0.730469,887,1.01009,1.19955,0.652344,887,0.781264,0.978771,0.722656,887,0.960607,1.15044,0.664063
