step_mut29_5MR1bgr, cross_entropy_mut29_5MR1bgr, loss_mut29_5MR1bgr, train_accuracy_mut29_5MR1bgr,step_mut29_5MR1brg, cross_entropy_mut29_5MR1brg, loss_mut29_5MR1brg, train_accuracy_mut29_5MR1brg,step_mut29_5MR1gbr, cross_entropy_mut29_5MR1gbr, loss_mut29_5MR1gbr, train_accuracy_mut29_5MR1gbr,step_mut29_5MR1grb, cross_entropy_mut29_5MR1grb, loss_mut29_5MR1grb, train_accuracy_mut29_5MR1grb,step_mut29_5MR1rbg, cross_entropy_mut29_5MR1rbg, loss_mut29_5MR1rbg, train_accuracy_mut29_5MR1rbg,step_mut29_5MR1rgb, cross_entropy_mut29_5MR1rgb, loss_mut29_5MR1rgb, train_accuracy_mut29_5MR1rgb
1,2.66586,2.45378,0.0703125,1,2.6708,2.45873,0.0703125,1,2.6737,2.46162,0.0703125,1,2.65779,2.44571,0.0703125,1,2.65421,2.44213,0.0703125,1,2.64588,2.4338,0.0703125
41,1.74985,1.53137,0.289063,41,1.77404,1.55522,0.34375,41,1.73564,1.51682,0.34375,41,1.74713,1.52824,0.328125,41,1.8493,1.63026,0.242188,41,1.7178,1.49904,0.40625
81,1.63199,1.40711,0.390625,81,1.73037,1.5048,0.367188,81,1.56322,1.33782,0.382813,81,1.67183,1.44644,0.296875,81,1.65857,1.43342,0.34375,81,1.59478,1.3695,0.414063
121,1.5444,1.31339,0.375,121,1.53212,1.30004,0.382813,121,1.50004,1.26835,0.445313,121,1.48737,1.25571,0.484375,121,1.53177,1.30074,0.4375,121,1.49785,1.26572,0.453125
161,1.38121,1.14361,0.492188,161,1.40775,1.16859,0.5,161,1.33213,1.09362,0.484375,161,1.35682,1.11817,0.460938,161,1.48182,1.24428,0.4375,161,1.28404,1.04427,0.492188
