step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1716,0.0128133,0.235754,1.0,1716,0.0183354,0.240674,1.0,1716,0.0293943,0.252259,1.0,1716,0.0235701,0.248192,1.0,1716,0.0426296,0.266771,0.992188,1716,0.0276554,0.251027,1.0,1716,0.0133603,0.237282,1.0,1716,0.0234883,0.247322,0.992188
1816,0.0241021,0.246528,0.996094,1816,0.0198472,0.241664,1.0,1816,0.0251362,0.247468,0.996094,1816,0.0294662,0.253651,0.996094,1816,0.0240535,0.247676,0.996094,1816,0.0133881,0.236236,1.0,1816,0.0384329,0.261835,0.996094,1816,0.0455944,0.26895,0.992188
1916,0.0151908,0.237074,0.997396,1916,0.0234727,0.244811,0.997396,1916,0.0187953,0.240577,0.994792,1916,0.0126885,0.236386,0.997396,1916,0.0220519,0.245265,0.997396,1916,0.0142453,0.236555,1.0,1916,0.0187437,0.241611,0.997396,1916,0.010878,0.233685,0.994792
2016,0.0169756,0.238333,0.998047,2016,0.0362064,0.257011,0.996094,2016,0.0273371,0.248554,0.994141,2016,0.0139285,0.23709,0.998047,2016,0.0137334,0.236488,0.998047,2016,0.0107133,0.232443,1.0,2016,0.0270896,0.249428,0.996094,2016,0.0377813,0.260028,0.992188
2059,0.0095943,0.230688,1.0,2059,0.0172605,0.237789,0.992188,2059,0.0558871,0.276848,0.984375,2059,0.0114766,0.234365,1.0,2059,0.00913785,0.23163,1.0,2059,0.0209213,0.242416,0.992188,2059,0.00682454,0.228897,1.0,2059,0.0101286,0.232139,1.0
2159,0.0116044,0.232074,1.0,2159,0.0129381,0.232861,0.996094,2159,0.00826292,0.228616,0.992188,2159,0.0100028,0.232257,1.0,2159,0.00795133,0.229772,1.0,2159,0.00948296,0.230361,0.996094,2159,0.0141841,0.235601,1.0,2159,0.00657001,0.227948,1.0
2259,0.00753503,0.227324,1.0,2259,0.00498248,0.224275,0.997396,2259,0.00447367,0.224164,0.994792,2259,0.00577203,0.227342,1.0,2259,0.00781862,0.228977,1.0,2259,0.0081589,0.228369,0.997396,2259,0.00703415,0.227777,1.0,2259,0.00760614,0.228307,1.0
2359,0.00789407,0.226982,1.0,2359,0.015897,0.234491,0.996094,2359,0.00900843,0.227987,0.996094,2359,0.00960043,0.230474,1.0,2359,0.0072415,0.227752,1.0,2359,0.018679,0.238236,0.996094,2359,0.0136788,0.233713,1.0,2359,0.0129648,0.232945,1.0
2402,0.00565319,0.224434,1.0,2402,0.00555247,0.223828,1.0,2402,0.007575,0.226237,1.0,2402,0.00640656,0.22697,1.0,2402,0.00955028,0.229756,1.0,2402,0.00590593,0.22516,1.0,2402,0.00631222,0.226039,1.0,2402,0.00319889,0.222859,1.0
2502,0.00388718,0.221925,1.0,2502,0.00275798,0.220281,1.0,2502,0.00323716,0.221162,1.0,2502,0.0050726,0.224934,1.0,2502,0.0073499,0.226835,1.0,2502,0.00571871,0.224274,1.0,2502,0.0063734,0.22536,1.0,2502,0.00448982,0.22341,1.0
2602,0.0031493,0.220428,1.0,2602,0.00238613,0.219141,1.0,2602,0.00246228,0.219624,1.0,2602,0.00332177,0.222433,1.0,2602,0.00653436,0.225291,1.0,2602,0.00485797,0.222693,1.0,2602,0.0053863,0.223618,1.0,2602,0.00404823,0.222214,1.0
2702,0.00327069,0.219779,1.0,2702,0.00523043,0.221204,1.0,2702,0.00535084,0.221739,1.0,2702,0.00434316,0.222687,1.0,2702,0.00340023,0.221406,1.0,2702,0.00489691,0.222016,1.0,2702,0.00422283,0.221688,1.0,2702,0.00428824,0.221685,1.0
2745,0.00285211,0.219029,1.0,2745,0.00303831,0.218675,1.0,2745,0.00296886,0.219025,1.0,2745,0.00389874,0.221908,1.0,2745,0.00293222,0.220605,1.0,2745,0.00324138,0.220039,1.0,2745,0.0029143,0.220044,1.0,2745,0.00252155,0.219583,1.0
2845,0.00295996,0.218365,1.0,2845,0.00216027,0.217014,1.0,2845,0.00234187,0.217616,1.0,2845,0.00339867,0.220645,1.0,2845,0.00433057,0.22123,1.0,2845,0.00290708,0.218939,1.0,2845,0.00419799,0.220549,1.0,2845,0.0028775,0.219165,1.0
2945,0.00260021,0.217228,1.0,2945,0.00208424,0.216155,1.0,2945,0.00193776,0.216427,1.0,2945,0.00249428,0.21897,1.0,2945,0.0035479,0.219676,1.0,2945,0.00292884,0.218187,1.0,2945,0.00300444,0.218576,1.0,2945,0.00327758,0.218788,1.0
3045,0.00277112,0.216622,1.0,3045,0.00421268,0.2175,1.0,3045,0.00369099,0.217392,1.0,3045,0.00355295,0.219251,1.0,3045,0.00255834,0.217909,1.0,3045,0.00405926,0.21854,1.0,3045,0.00331403,0.218105,1.0,3045,0.00368656,0.218418,1.0
3088,0.00214928,0.215664,1.0,3088,0.00246886,0.215419,1.0,3088,0.0023148,0.215678,1.0,3088,0.00264022,0.218002,1.0,3088,0.00235829,0.217372,1.0,3088,0.00255526,0.2167,1.0,3088,0.00232363,0.216778,1.0,3088,0.00222582,0.216621,1.0
3188,0.00254639,0.215284,1.0,3188,0.00186853,0.214038,1.0,3188,0.00195597,0.214535,1.0,3188,0.00287378,0.217455,1.0,3188,0.00319363,0.217427,1.0,3188,0.00231595,0.21568,1.0,3188,0.00341894,0.217092,1.0,3188,0.00266445,0.21628,1.0
