step_org_150MR1bgr, cross_entropy_org_150MR1bgr, loss_org_150MR1bgr, train_accuracy_org_150MR1bgr,step_org_150MR1brg, cross_entropy_org_150MR1brg, loss_org_150MR1brg, train_accuracy_org_150MR1brg,step_org_150MR1gbr, cross_entropy_org_150MR1gbr, loss_org_150MR1gbr, train_accuracy_org_150MR1gbr,step_org_150MR1grb, cross_entropy_org_150MR1grb, loss_org_150MR1grb, train_accuracy_org_150MR1grb,step_org_150MR1rbg, cross_entropy_org_150MR1rbg, loss_org_150MR1rbg, train_accuracy_org_150MR1rbg,step_org_150MR1rgb, cross_entropy_org_150MR1rgb, loss_org_150MR1rgb, train_accuracy_org_150MR1rgb
2451,0.141943,0.355086,0.957031,2451,0.0492985,0.265059,0.960938,2451,0.124522,0.34194,0.953125,2451,0.0964826,0.308249,0.957031,2451,0.13615,0.352468,0.972656,2451,0.0455012,0.261105,0.976563
2551,0.201914,0.414693,0.947917,2551,0.169079,0.384308,0.955729,2551,0.0708065,0.286943,0.960938,2551,0.140238,0.352122,0.953125,2551,0.1227,0.339693,0.966146,2551,0.177963,0.393484,0.96875
2651,0.109415,0.32152,0.955078,2651,0.147538,0.363132,0.955078,2651,0.141433,0.357044,0.957031,2651,0.170688,0.382547,0.949219,2651,0.124415,0.341308,0.962891,2651,0.115508,0.331239,0.966797
2751,0.106438,0.319184,0.954687,2751,0.113983,0.329333,0.953125,2751,0.0934751,0.309038,0.957812,2751,0.14298,0.354436,0.951563,2751,0.149255,0.365659,0.957812,2751,0.0971253,0.312747,0.967188
2821,0.177955,0.390184,0.953125,2821,0.208737,0.423702,0.9375,2821,0.0875913,0.302249,0.960938,2821,0.140213,0.351891,0.960938,2821,0.119399,0.335042,0.960938,2821,0.174136,0.389889,0.953125
2921,0.0777482,0.289501,0.96875,2921,0.0416601,0.256568,0.964844,2921,0.0447433,0.259139,0.972656,2921,0.0613907,0.27362,0.964844,2921,0.114109,0.329518,0.957031,2921,0.0404966,0.255831,0.96875
3021,0.0884518,0.299884,0.96875,3021,0.12223,0.336464,0.960938,3021,0.0529057,0.267363,0.973958,3021,0.124348,0.336724,0.963542,3021,0.0915975,0.306418,0.963542,3021,0.14602,0.361184,0.966146
3121,0.201974,0.413264,0.958984,3121,0.169307,0.384112,0.957031,3121,0.0956899,0.309849,0.96875,3121,0.136517,0.348197,0.962891,3121,0.11644,0.331462,0.964844,3121,0.0779275,0.292485,0.970703
3221,0.0744863,0.285391,0.9625,3221,0.0657643,0.280901,0.9625,3221,0.0562134,0.270869,0.973437,3221,0.103894,0.315581,0.964063,3221,0.0828767,0.297599,0.967188,3221,0.15773,0.37196,0.970312
3291,0.189901,0.400989,0.9375,3291,0.124576,0.339861,0.960938,3291,0.141458,0.356588,0.953125,3291,0.167823,0.379452,0.960938,3291,0.123246,0.33726,0.945313,3291,0.137866,0.352026,0.960938
3391,0.0558224,0.266807,0.964844,3391,0.0800342,0.295582,0.96875,3391,0.0438589,0.259027,0.972656,3391,0.0607475,0.271708,0.972656,3391,0.0945602,0.308225,0.960938,3391,0.0547671,0.269368,0.976563
3491,0.0621763,0.272638,0.96875,3491,0.112115,0.326648,0.96875,3491,0.127087,0.340924,0.96875,3491,0.137138,0.348744,0.971354,3491,0.110362,0.32426,0.958333,3491,0.0829422,0.296665,0.976563
3591,0.123578,0.333255,0.964844,3591,0.271551,0.485372,0.955078,3591,0.131494,0.343984,0.966797,3591,0.111746,0.321827,0.96875,3591,0.056973,0.269849,0.964844,3591,0.112116,0.324301,0.976563
3691,0.0879063,0.298765,0.965625,3691,0.103798,0.317557,0.957812,3691,0.107123,0.319446,0.965625,3691,0.130127,0.341235,0.96875,3691,0.110405,0.322717,0.964063,3691,0.0963932,0.307647,0.973437
3761,0.0998541,0.310152,0.960938,3761,0.0953564,0.308119,0.976563,3761,0.120099,0.332497,0.953125,3761,0.175704,0.386536,0.953125,3761,0.0720033,0.284277,0.976563,3761,0.17361,0.385208,0.945313
