step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1,2.65747,2.86955,0.046875,1,2.66782,2.8799,0.046875,1,2.68149,2.89357,0.046875,1,2.65623,2.86831,0.046875,1,2.65754,2.86962,0.046875,1,2.66466,2.87674,0.046875,1,2.64075,2.85282,0.046875,1,2.65913,2.87121,0.046875
101,1.76356,1.97555,0.210938,101,1.77909,1.99163,0.214844,101,1.80499,2.0177,0.183594,101,1.92347,2.13529,0.164063,101,1.83527,2.04823,0.199219,101,1.92332,2.13417,0.152344,101,1.81224,2.02398,0.195313,101,1.86149,2.07365,0.179688
201,1.49067,1.70159,0.320313,201,1.41746,1.62903,0.307292,201,1.65216,1.86314,0.257813,201,1.66416,1.87307,0.242188,201,1.45885,1.6715,0.299479,201,1.62975,1.83832,0.244792,201,1.4797,1.68981,0.304688,201,1.77057,1.97971,0.221354
301,1.26905,1.48037,0.373047,301,1.25104,1.46291,0.363281,301,1.40607,1.61577,0.316406,301,1.41845,1.62586,0.292969,301,1.10479,1.3185,0.376953,301,1.47553,1.68229,0.292969,301,1.36235,1.57268,0.355469,301,1.34878,1.55584,0.302734
316,1.09937,1.31074,0.609375,316,1.23152,1.44349,0.539063,316,1.3037,1.5133,0.507813,316,1.53776,1.745,0.4375,316,1.16745,1.38139,0.609375,316,1.32401,1.53064,0.539063,316,1.26376,1.47423,0.5625,316,1.36304,1.56992,0.53125
416,1.221,1.43386,0.582031,416,1.31171,1.52534,0.554688,416,1.39546,1.60528,0.503906,416,1.51499,1.72214,0.457031,416,1.155,1.37118,0.597656,416,1.54908,1.75541,0.507813,416,1.23595,1.44801,0.554688,416,1.60225,1.8087,0.476563
516,0.924548,1.13981,0.606771,516,0.966122,1.1823,0.59375,516,1.25976,1.47066,0.539063,516,1.23866,1.44658,0.513021,516,0.980231,1.19893,0.606771,516,1.26517,1.47227,0.518229,516,1.06818,1.28215,0.572917,516,1.1959,1.40306,0.526042
616,0.98922,1.20727,0.626953,616,0.920642,1.13917,0.617188,616,1.03495,1.24686,0.5625,616,1.07517,1.28403,0.539063,616,0.873019,1.09432,0.644531,616,1.11869,1.32637,0.542969,616,1.08644,1.30325,0.585938,616,1.08452,1.2923,0.550781
631,0.776203,0.994528,0.742188,631,0.850663,1.06961,0.679688,631,0.967989,1.18003,0.71875,631,1.07733,1.2864,0.671875,631,0.834941,1.05655,0.664063,631,1.14293,1.35062,0.578125,631,0.768212,0.985376,0.726563,631,1.08814,1.296,0.585938
731,0.806552,1.02791,0.714844,731,0.911374,1.13349,0.683594,731,1.11769,1.33182,0.636719,731,1.13763,1.3485,0.613281,731,0.746332,0.971019,0.691406,731,1.25824,1.46752,0.542969,731,0.882821,1.10296,0.707031,731,1.17955,1.38893,0.582031
