step_mut221_150MR1bgr, cross_entropy_mut221_150MR1bgr, loss_mut221_150MR1bgr, train_accuracy_mut221_150MR1bgr,step_mut221_150MR1brg, cross_entropy_mut221_150MR1brg, loss_mut221_150MR1brg, train_accuracy_mut221_150MR1brg,step_mut221_150MR1gbr, cross_entropy_mut221_150MR1gbr, loss_mut221_150MR1gbr, train_accuracy_mut221_150MR1gbr,step_mut221_150MR1grb, cross_entropy_mut221_150MR1grb, loss_mut221_150MR1grb, train_accuracy_mut221_150MR1grb,step_mut221_150MR1rbg, cross_entropy_mut221_150MR1rbg, loss_mut221_150MR1rbg, train_accuracy_mut221_150MR1rbg,step_mut221_150MR1rgb, cross_entropy_mut221_150MR1rgb, loss_mut221_150MR1rgb, train_accuracy_mut221_150MR1rgb
1,2.54652,2.7587,0.09375,1,2.5516,2.76378,0.09375,1,2.55784,2.77002,0.09375,1,2.55238,2.76456,0.09375,1,2.55741,2.76959,0.09375,1,2.54974,2.76192,0.09375
,,,,101,2.30094,2.50621,0.117188,101,2.19624,2.40139,0.132813,101,2.11564,2.32131,0.109375,101,2.29667,2.54095,0.109375,101,2.25936,2.46449,0.144531
,,,,201,2.21428,2.41183,0.127604,201,2.00648,2.20514,0.171875,201,2.01137,2.21163,0.148438,201,2.30745,2.54654,0.109375,201,1.98374,2.18258,0.184896
,,,,301,2.03251,2.22498,0.144531,301,1.97979,2.17317,0.189453,301,1.85088,2.04648,0.197266,301,2.25878,2.50876,0.107422,301,1.92431,2.11843,0.201172
,,,,394,1.77552,1.96401,0.34375,394,1.79518,1.98453,0.242188,394,1.66347,1.85549,0.367188,394,2.02609,2.26929,0.273438,394,1.71917,1.90966,0.359375
,,,,494,1.85888,2.04292,0.324219,494,1.9109,2.09658,0.234375,494,1.85833,2.04737,0.347656,494,2.11928,2.35417,0.234375,494,1.8673,2.05414,0.328125
,,,,594,1.76816,1.94824,0.3125,594,1.63183,1.81449,0.273438,594,1.70487,1.89122,0.335938,594,1.85985,2.08802,0.257813,594,1.72213,1.90581,0.335938
,,,,694,1.6183,1.79619,0.345703,694,1.57212,1.75257,0.3125,694,1.57412,1.75864,0.371094,694,1.83082,2.05323,0.273438,694,1.63818,1.8198,0.367188
,,,,787,1.62958,1.80539,0.359375,787,1.50969,1.68807,0.476563,787,1.53059,1.7137,0.40625,787,1.8057,2.02335,0.351563,787,1.56623,1.74631,0.4375
,,,,887,1.6158,1.78956,0.363281,887,1.749,1.92635,0.414063,887,1.57911,1.76098,0.40625,887,1.72297,1.9361,0.332031,887,1.6154,1.79416,0.402344
,,,,987,1.50465,1.67725,0.385417,987,1.50558,1.68143,0.419271,987,1.48145,1.66241,0.429688,987,1.6956,1.90481,0.341146,987,1.52222,1.70023,0.40625
,,,,1087,1.44788,1.61991,0.414063,1087,1.30714,1.48291,0.447266,1087,1.34225,1.52349,0.458984,1087,1.66878,1.87406,0.353516,1087,1.46745,1.6454,0.423828
,,,,1180,1.36431,1.53624,0.507813,1180,1.33839,1.51405,0.460938,1180,1.34017,1.52165,0.5,1180,1.60822,1.81043,0.382813,1180,1.39576,1.57375,0.484375
,,,,1280,1.43368,1.60595,0.511719,1280,1.49922,1.67569,0.453125,1280,1.46735,1.6497,0.464844,1280,1.5919,1.79148,0.386719,1280,1.38594,1.56497,0.507813
,,,,1380,1.29359,1.46668,0.515625,1380,1.31422,1.49078,0.479167,1380,1.40366,1.58717,0.46875,1380,1.56609,1.76371,0.398438,1380,1.28072,1.46174,0.510417
,,,,1480,1.29794,1.4726,0.523438,1480,1.19735,1.37558,0.509766,1480,1.22414,1.41038,0.488281,1480,1.45196,1.64793,0.443359,1480,1.27716,1.46028,0.517578
,,,,1573,1.21452,1.39065,0.585938,1573,1.10463,1.28405,0.617188,1573,1.09155,1.27992,0.640625,1573,1.43052,1.62512,0.484375,1573,1.04186,1.22729,0.671875
,,,,1673,1.2459,1.42486,0.554688,1673,1.31427,1.49563,0.59375,1673,1.2608,1.45285,0.585938,1673,1.41159,1.60531,0.503906,1673,1.15259,1.34173,0.613281
,,,,1773,1.17017,1.35097,0.567708,1773,1.31663,1.49937,0.575521,1773,1.27634,1.47136,0.5625,1773,1.3683,1.56218,0.507813,1773,1.16739,1.35961,0.588542
,,,,1873,1.15464,1.3388,0.560547,1873,1.21726,1.40337,0.574219,1873,1.22329,1.42349,0.574219,1873,1.38603,1.58073,0.5,1873,1.23607,1.43302,0.591797
,,,,1966,1.11775,1.30462,0.585938,1966,1.08804,1.27737,0.625,1966,0.910704,1.11508,0.664063,1966,1.21611,1.41116,0.578125,1966,0.856225,1.05757,0.671875
,,,,2066,1.17305,1.36492,0.578125,2066,1.17575,1.36875,0.605469,2066,1.14007,1.34942,0.632813,2066,1.22472,1.42106,0.554688,2066,1.102,1.30748,0.648438
,,,,2166,1.0892,1.28415,0.588542,2166,1.20582,1.40218,0.591146,2166,1.07982,1.29397,0.617188,2166,1.25853,1.457,0.554688,2166,1.00486,1.21491,0.640625
,,,,2266,0.978377,1.17841,0.603516,2266,1.06701,1.26793,0.591797,2266,0.888107,1.10888,0.634766,2266,1.26104,1.46174,0.5625,2266,1.03529,1.25139,0.644531
,,,,2359,0.870092,1.07436,0.664063,2359,0.808692,1.0146,0.6875,2359,0.804336,1.03124,0.734375,2359,1.1186,1.321,0.625,2359,0.809683,1.0315,0.671875
,,,,2459,1.01665,1.22561,0.671875,2459,0.965816,1.17698,0.691406,2459,0.79195,1.02447,0.71875,2459,1.32856,1.53338,0.585938,2459,0.962243,1.1894,0.675781
,,,,2559,1.01838,1.23188,0.658854,2559,0.922571,1.13849,0.692708,2559,0.964497,1.20378,0.690104,2559,1.17325,1.38078,0.565104,2559,0.820735,1.05383,0.682292
,,,,2659,0.832358,1.05105,0.673828,2659,0.841533,1.06271,0.695313,2659,1.09573,1.34208,0.675781,2659,1.03744,1.2487,0.59375,2659,0.858542,1.09787,0.685547
,,,,2752,0.699689,0.923819,0.710938,2752,0.789597,1.01657,0.703125,2752,0.717831,0.970529,0.75,2752,1.06069,1.2745,0.632813,2752,0.674456,0.920363,0.734375
,,,,2852,0.850436,1.08129,0.703125,2852,0.955666,1.18844,0.6875,2852,0.966693,1.22588,0.714844,2852,1.07115,1.289,0.621094,2852,0.714937,0.968005,0.738281
,,,,2952,0.854898,1.09134,0.690104,2952,0.889452,1.12804,0.6875,2952,0.854461,1.12072,0.705729,2952,0.943951,1.16489,0.630208,2952,0.702912,0.962754,0.747396
,,,,3052,0.725268,0.968188,0.714844,3052,0.707438,0.952473,0.697266,3052,0.67619,0.950952,0.722656,3052,0.891668,1.11768,0.646484,3052,0.6925,0.959705,0.753906
,,,,3145,0.646141,0.894744,0.765625,3145,0.696307,0.947564,0.734375,3145,0.661011,0.943135,0.8125,3145,0.98048,1.21026,0.671875,3145,0.607386,0.882175,0.742188
,,,,3245,0.794697,1.04975,0.738281,3245,0.944511,1.20225,0.679688,3245,0.598855,0.888446,0.789063,3245,0.956393,1.19096,0.648438,3245,0.698217,0.980957,0.75
,,,,3345,0.780073,1.04179,0.739583,3345,0.718896,0.983068,0.697917,3345,0.697761,0.994197,0.765625,3345,0.949861,1.18869,0.658854,3345,0.563092,0.853111,0.768229
,,,,3445,0.700713,0.969229,0.75,3445,0.68792,0.960002,0.703125,3445,0.526393,0.831447,0.767578,3445,0.787099,1.03158,0.667969,3445,0.809875,1.10692,0.755859
,,,,3538,0.509769,0.785592,0.796875,3538,0.721312,0.999348,0.726563,3538,0.518085,0.830329,0.804688,3538,0.808253,1.05716,0.703125,3538,0.491218,0.794908,0.835938
,,,,3638,0.744425,1.02617,0.769531,3638,0.716519,1.0021,0.738281,3638,0.639567,0.958855,0.800781,3638,0.764571,1.01893,0.703125,3638,0.54686,0.858758,0.804688
,,,,3738,0.551595,0.840779,0.783854,3738,0.560016,0.852623,0.757813,3738,0.623705,0.950142,0.783854,3738,0.882392,1.14199,0.695313,3738,0.564868,0.883672,0.796875
,,,,3838,0.653296,0.949376,0.785156,3838,0.524075,0.823468,0.775391,3838,0.512771,0.848374,0.794922,3838,0.876228,1.14229,0.693359,3838,0.507406,0.833355,0.796875
,,,,3931,0.394675,0.697188,0.859375,3931,0.586092,0.8923,0.773438,3931,0.336519,0.679115,0.882813,3931,0.718767,0.990702,0.726563,3931,0.448262,0.781772,0.820313
,,,,4031,0.378734,0.681077,0.867188,4031,0.360461,0.667254,0.808594,4031,0.322986,0.665536,0.886719,4031,0.688038,0.960321,0.738281,4031,0.337896,0.671515,0.847656
,,,,4131,0.207211,0.509474,0.890625,4131,0.328439,0.635033,0.825521,4131,0.200253,0.54247,0.898438,4131,0.448614,0.720713,0.776042,4131,0.178019,0.511309,0.877604
,,,,4231,0.270674,0.572797,0.898438,4231,0.190129,0.496474,0.853516,4231,0.0753592,0.41708,0.916016,4231,0.403218,0.675325,0.792969,4231,0.197351,0.530403,0.890625
,,,,4324,0.161082,0.463125,0.945313,4324,0.146873,0.453198,0.929688,4324,0.0892868,0.430657,0.96875,4324,0.430284,0.702365,0.820313,4324,0.104804,0.437498,0.953125
,,,,4424,0.250579,0.552171,0.929688,4424,0.226796,0.532686,0.929688,4424,0.229469,0.570267,0.949219,4424,0.579056,0.850787,0.808594,4424,0.185045,0.51725,0.949219
,,,,4524,0.12291,0.424339,0.9375,4524,0.208941,0.514453,0.921875,4524,0.105383,0.445686,0.953125,4524,0.350967,0.622467,0.838542,4524,0.0813539,0.413166,0.955729
,,,,4624,0.190018,0.491282,0.943359,4624,0.114916,0.420198,0.933594,4624,0.0381885,0.377979,0.962891,4624,0.304619,0.576182,0.851563,4624,0.0963071,0.427756,0.958984
,,,,4717,0.104064,0.405215,0.960938,4717,0.0568803,0.362052,0.992188,4717,0.0445531,0.383926,0.992188,4717,0.347987,0.619497,0.851563,4717,0.05378,0.384824,0.984375
,,,,4817,0.181904,0.482717,0.949219,4817,0.168599,0.473534,0.96875,4817,0.121965,0.460851,0.96875,4817,0.455567,0.72687,0.855469,4817,0.100172,0.430776,0.972656
,,,,4917,0.0679701,0.368643,0.955729,4917,0.123134,0.427622,0.96875,4917,0.0476516,0.38598,0.973958,4917,0.277357,0.548621,0.861979,4917,0.0397793,0.369904,0.976563
,,,,5017,0.128808,0.429238,0.955078,5017,0.0737809,0.378085,0.972656,5017,0.0199459,0.35773,0.978516,5017,0.242803,0.51418,0.876953,5017,0.0491201,0.378784,0.980469
,,,,5110,0.0539649,0.354285,0.984375,5110,0.0257854,0.329878,1.0,5110,0.0243698,0.361587,0.992188,5110,0.274086,0.545444,0.890625,5110,0.0285238,0.357669,1.0
,,,,5210,0.132526,0.432655,0.976563,5210,0.115098,0.418997,0.980469,5210,0.053594,0.390347,0.984375,5210,0.364417,0.635711,0.890625,5210,0.0466496,0.375377,0.988281
,,,,5310,0.0315648,0.331533,0.984375,5310,0.0768591,0.380311,0.981771,5310,0.021823,0.357954,0.986979,5310,0.180877,0.452247,0.903646,5310,0.0179626,0.346088,0.992188
,,,,5410,0.0830956,0.382815,0.980469,5410,0.0451909,0.348428,0.982422,5410,0.0161081,0.351648,0.988281,5410,0.181286,0.452815,0.908203,5410,0.0299484,0.357527,0.992188
,,,,5503,0.0152563,0.314752,1.0,5503,0.0122115,0.315088,1.0,5503,0.0177216,0.352567,0.992188,5503,0.206317,0.477874,0.921875,5503,0.0150269,0.341996,1.0
,,,,5603,0.0932585,0.392568,0.976563,5603,0.0782738,0.380906,0.992188,5603,0.0283852,0.36265,0.992188,5603,0.251291,0.52283,0.925781,5603,0.0339054,0.360364,0.992188
,,,,5703,0.0205164,0.319535,0.984375,5703,0.0988043,0.400952,0.984375,5703,0.00471444,0.338219,0.994792,5703,0.120183,0.391908,0.940104,5703,0.0169463,0.342684,0.994792
,,,,5803,0.0516908,0.350327,0.982422,5803,0.0308467,0.33274,0.986328,5803,0.00693672,0.33983,0.996094,5803,0.116505,0.388445,0.947266,5803,0.0235875,0.348791,0.994141
