step_mut31_5MR1bgr, cross_entropy_mut31_5MR1bgr, loss_mut31_5MR1bgr, train_accuracy_mut31_5MR1bgr,step_mut31_5MR1brg, cross_entropy_mut31_5MR1brg, loss_mut31_5MR1brg, train_accuracy_mut31_5MR1brg,step_mut31_5MR1gbr, cross_entropy_mut31_5MR1gbr, loss_mut31_5MR1gbr, train_accuracy_mut31_5MR1gbr,step_mut31_5MR1grb, cross_entropy_mut31_5MR1grb, loss_mut31_5MR1grb, train_accuracy_mut31_5MR1grb,step_mut31_5MR1rbg, cross_entropy_mut31_5MR1rbg, loss_mut31_5MR1rbg, train_accuracy_mut31_5MR1rbg,step_mut31_5MR1rgb, cross_entropy_mut31_5MR1rgb, loss_mut31_5MR1rgb, train_accuracy_mut31_5MR1rgb
1,2.66586,2.66586,0.0703125,1,2.6708,2.6708,0.0703125,1,2.6737,2.6737,0.0703125,1,2.65779,2.65779,0.0703125,1,2.65421,2.65421,0.0703125,1,2.64588,2.64588,0.0703125
41,1.7864,1.7864,0.328125,41,1.72276,1.72276,0.382813,41,1.7335,1.7335,0.351563,41,1.76098,1.76098,0.34375,41,1.85141,1.85141,0.3125,41,1.73024,1.73024,0.359375
81,1.54278,1.54278,0.40625,81,1.5584,1.5584,0.398438,81,1.63365,1.63365,0.367188,81,1.62895,1.62895,0.40625,81,1.6923,1.6923,0.414063,81,1.59023,1.59023,0.429688
121,1.5693,1.5693,0.40625,121,1.49202,1.49202,0.445313,121,1.4919,1.4919,0.4375,121,1.45065,1.45065,0.515625,121,1.6211,1.6211,0.40625,121,1.45896,1.45896,0.4375
161,1.42806,1.42806,0.429688,161,1.33887,1.33887,0.484375,161,1.46141,1.46141,0.429688,161,1.4096,1.4096,0.476563,161,1.51254,1.51254,0.4375,161,1.26486,1.26486,0.5625
