step_mut30_150MR1bgr, cross_entropy_mut30_150MR1bgr, loss_mut30_150MR1bgr, train_accuracy_mut30_150MR1bgr,step_mut30_150MR1brg, cross_entropy_mut30_150MR1brg, loss_mut30_150MR1brg, train_accuracy_mut30_150MR1brg,step_mut30_150MR1gbr, cross_entropy_mut30_150MR1gbr, loss_mut30_150MR1gbr, train_accuracy_mut30_150MR1gbr,step_mut30_150MR1grb, cross_entropy_mut30_150MR1grb, loss_mut30_150MR1grb, train_accuracy_mut30_150MR1grb,step_mut30_150MR1rbg, cross_entropy_mut30_150MR1rbg, loss_mut30_150MR1rbg, train_accuracy_mut30_150MR1rbg,step_mut30_150MR1rgb, cross_entropy_mut30_150MR1rgb, loss_mut30_150MR1rgb, train_accuracy_mut30_150MR1rgb
2559,0.182939,0.182939,0.955729,2559,0.116778,0.116778,0.963542,2559,0.131688,0.131688,0.940104,2559,0.15824,0.15824,0.9375,2559,0.0865907,0.0865908,0.934896,2559,0.217416,0.217416,0.919271
2659,0.154637,0.154637,0.955078,2659,0.20409,0.20409,0.953125,2659,0.148611,0.148611,0.943359,2659,0.120351,0.120351,0.943359,2659,0.150702,0.150702,0.943359,2659,0.127339,0.127339,0.927734
2752,0.125658,0.125659,0.96875,2752,0.120812,0.120812,0.960938,2752,0.25768,0.257681,0.929688,2752,0.114797,0.114798,0.96875,2752,0.115598,0.115598,0.960938,2752,0.181948,0.181948,0.945313
2852,0.240032,0.240032,0.921875,2852,0.0985266,0.0985267,0.960938,2852,0.215165,0.215165,0.925781,2852,0.140165,0.140165,0.960938,2852,0.166653,0.166653,0.949219,2852,0.226136,0.226136,0.9375
2952,0.107064,0.107064,0.934896,2952,0.0835008,0.0835009,0.958333,2952,0.176435,0.176435,0.932292,2952,0.0961123,0.0961124,0.958333,2952,0.0844973,0.0844974,0.953125,2952,0.118381,0.118381,0.942708
3052,0.160757,0.160757,0.941406,3052,0.201607,0.201607,0.947266,3052,0.14675,0.14675,0.939453,3052,0.0938029,0.093803,0.960938,3052,0.132223,0.132223,0.951172,3052,0.0890282,0.0890282,0.951172
3145,0.0831829,0.0831829,0.96875,3145,0.054873,0.054873,0.976563,3145,0.0741796,0.0741796,0.984375,3145,0.0931683,0.0931684,0.976563,3145,0.110178,0.110178,0.953125,3145,0.113599,0.113599,0.960938
3245,0.119447,0.119447,0.960938,3245,0.0782036,0.0782037,0.96875,3245,0.145068,0.145068,0.976563,3245,0.108232,0.108232,0.964844,3245,0.141251,0.141251,0.957031,3245,0.110254,0.110254,0.964844
3345,0.0869255,0.0869256,0.963542,3345,0.0782735,0.0782736,0.971354,3345,0.0883771,0.0883772,0.971354,3345,0.116655,0.116655,0.960938,3345,0.0587733,0.0587733,0.963542,3345,0.0981244,0.0981244,0.963542
3445,0.111147,0.111147,0.960938,3445,0.16632,0.16632,0.96875,3445,0.0672543,0.0672544,0.972656,3445,0.094281,0.0942811,0.962891,3445,0.0940265,0.0940265,0.964844,3445,0.148499,0.148499,0.955078
