step, cross_entropy, loss, train_accuracy
1,2.64588,2.4338,0.0703125
101,1.72877,1.50027,0.207031
201,1.36547,1.1195,0.304688
301,1.19572,0.931552,0.369141
394,0.95141,0.669342,0.664063
494,1.11245,0.809536,0.628906
594,0.981491,0.656493,0.619792
694,0.889125,0.540637,0.630859
787,0.583473,0.211749,0.773438
887,0.838249,0.440596,0.746094
987,0.717588,0.292878,0.736979
1087,0.540896,0.0876299,0.744141
1180,0.364986,-0.116383,0.851563
1280,0.566035,0.0532195,0.824219
1380,0.505384,-0.0401192,0.820313
1480,0.307929,-0.271341,0.835938
1573,0.256892,-0.355478,0.90625
1673,0.447839,-0.200939,0.871094
1773,0.377371,-0.309303,0.864583
1873,0.257253,-0.467995,0.873047
1966,0.179587,-0.583413,0.929688
2066,0.276342,-0.528569,0.921875
2166,0.246834,-0.601213,0.916667
2266,0.0779978,-0.814619,0.933594
2359,0.160453,-0.774167,0.929688
2459,0.193418,-0.788205,0.925781
2559,0.113205,-0.916618,0.9375
2659,0.0575624,-1.02259,0.949219
2752,0.0526432,-1.07597,0.96875
2852,0.082356,-1.09958,0.976563
2952,0.0223732,-1.21306,0.984375
3052,0.006029,-1.28423,0.988281
3145,0.0632112,-1.2805,0.96875
3245,0.0782305,-1.32653,0.96875
3345,0.0333493,-1.43423,0.976563
3445,0.0183172,-1.51308,0.980469
3538,0.0554364,-1.53751,0.976563
3638,0.0456099,-1.61625,0.980469
3738,0.0317806,-1.70082,0.984375
3838,0.0347912,-1.77076,0.984375
3931,0.0180254,-1.85754,0.992188
4031,0.00186248,-1.88127,0.996094
4131,0.00576369,-1.88494,0.997396
4231,0.000975876,-1.89733,0.998047
4324,0.00358179,-1.90181,1.0
4424,0.00109025,-1.91196,1.0
4524,0.000379701,-1.92035,1.0
4624,0.000809386,-1.92763,1.0
4717,0.00231123,-1.93333,1.0
4817,0.000881681,-1.94253,1.0
4917,0.000305907,-1.95091,1.0
5017,0.000676885,-1.95837,1.0
5110,0.00171448,-1.96464,1.0
5210,0.000743438,-1.97351,1.0
5310,0.000255128,-1.98192,1.0
5410,0.000569104,-1.98956,1.0
5503,0.0013615,-1.99619,1.0
5603,0.000638788,-2.00493,1.0
5703,0.000216335,-2.0134,1.0
5803,0.000485032,-2.02121,1.0
