step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1,2.65809,2.87017,0.0703125,1,2.65437,2.86645,0.0703125,1,2.66258,2.87465,0.0703125,1,2.66688,2.87895,0.0703125,1,2.65219,2.86427,0.0703125,1,2.65105,2.86312,0.0703125,1,2.64893,2.86101,0.0703125,1,2.65697,2.86905,0.0703125
101,1.66496,1.878,0.210938,101,1.75149,1.96461,0.207031,101,1.74971,1.96205,0.226563,101,1.71643,1.92873,0.195313,101,1.76206,1.97466,0.203125,101,1.68975,1.90244,0.195313,101,1.67493,1.88793,0.21875,101,1.76362,1.97565,0.199219
201,1.33871,1.55111,0.3125,201,1.40433,1.61786,0.28125,201,1.47945,1.69036,0.296875,201,1.46796,1.67841,0.260417,201,1.52452,1.7362,0.304688,201,1.51764,1.72859,0.247396,201,1.34626,1.55836,0.304688,201,1.50013,1.70994,0.265625
301,1.28931,1.50265,0.369141,301,1.19148,1.40579,0.349609,301,1.34042,1.55177,0.355469,301,1.45335,1.66281,0.316406,301,1.40044,1.61228,0.365234,301,1.48285,1.69297,0.306641,301,1.19671,1.40986,0.380859,301,1.3984,1.60707,0.332031
394,1.014,1.22834,0.625,394,0.960202,1.17612,0.625,394,1.23013,1.44191,0.5625,394,1.23253,1.44194,0.53125,394,1.1537,1.36684,0.554688,394,1.073,1.28327,0.625,394,1.04718,1.26213,0.609375,394,1.23312,1.44142,0.539063
494,1.10627,1.32209,0.601563,494,1.12378,1.34137,0.605469,494,1.1872,1.40063,0.546875,494,1.33867,1.54895,0.519531,494,1.07241,1.28679,0.578125,494,1.2558,1.46722,0.5625,494,1.00669,1.22342,0.601563,494,1.10902,1.31813,0.542969
594,0.959676,1.17751,0.614583,594,0.934606,1.15398,0.617188,594,1.01482,1.23001,0.572917,594,1.06868,1.28022,0.510417,594,0.939557,1.156,0.604167,594,1.12656,1.33928,0.552083,594,0.967287,1.18614,0.596354,594,1.21994,1.4309,0.528646
694,0.943542,1.1637,0.632813,694,0.908437,1.13011,0.640625,694,1.01403,1.23158,0.597656,694,1.14866,1.36237,0.533203,694,0.96396,1.18271,0.619141,694,1.15978,1.37425,0.560547,694,1.07003,1.29127,0.603516,694,1.05897,1.27198,0.554688
787,0.604942,0.827824,0.828125,787,0.65369,0.87818,0.75,787,0.84685,1.06682,0.710938,787,0.85061,1.06628,0.65625,787,0.613505,0.834956,0.765625,787,0.7607,0.977204,0.765625,787,0.672586,0.896324,0.734375,787,0.86455,1.07979,0.664063
887,0.845073,1.07135,0.746094,887,0.756339,0.984112,0.730469,887,0.928267,1.15161,0.6875,887,0.933876,1.15249,0.636719,887,0.857602,1.08217,0.722656,887,1.06058,1.27974,0.6875,887,0.847294,1.07421,0.714844,887,1.00677,1.22443,0.648438
