step, cross_entropy, loss, train_accuracy
1,2.6737,2.6737,0.0703125
41,1.74015,1.74015,0.375
81,1.65357,1.65357,0.375
121,1.49418,1.49418,0.4375
161,1.41322,1.41322,0.453125
