step_mut44_5MR1bgr, cross_entropy_mut44_5MR1bgr, loss_mut44_5MR1bgr, train_accuracy_mut44_5MR1bgr,step_mut44_5MR1brg, cross_entropy_mut44_5MR1brg, loss_mut44_5MR1brg, train_accuracy_mut44_5MR1brg,step_mut44_5MR1gbr, cross_entropy_mut44_5MR1gbr, loss_mut44_5MR1gbr, train_accuracy_mut44_5MR1gbr,step_mut44_5MR1grb, cross_entropy_mut44_5MR1grb, loss_mut44_5MR1grb, train_accuracy_mut44_5MR1grb,step_mut44_5MR1rbg, cross_entropy_mut44_5MR1rbg, loss_mut44_5MR1rbg, train_accuracy_mut44_5MR1rbg,step_mut44_5MR1rgb, cross_entropy_mut44_5MR1rgb, loss_mut44_5MR1rgb, train_accuracy_mut44_5MR1rgb
1,2.66586,2.87793,0.0703125,1,2.6708,2.88288,0.0703125,1,2.6737,2.88577,0.0703125,1,2.65779,2.86986,0.0703125,1,2.65421,2.86629,0.0703125,1,2.64588,2.85796,0.0703125
41,2.66586,2.87793,0.0703125,41,2.6708,2.88288,0.0703125,41,2.6737,2.88577,0.0703125,41,2.65779,2.86986,0.0703125,41,2.65421,2.86629,0.0703125,41,2.64588,2.85796,0.0703125
81,2.66586,2.87793,0.0703125,81,2.6708,2.88288,0.0703125,81,2.6737,2.88577,0.0703125,81,2.65779,2.86986,0.0703125,81,2.65421,2.86629,0.0703125,81,2.64588,2.85796,0.0703125
121,2.66586,2.87793,0.0703125,121,2.6708,2.88288,0.0703125,121,2.6737,2.88577,0.0703125,121,2.65779,2.86986,0.0703125,121,2.65421,2.86629,0.0703125,121,2.64588,2.85796,0.0703125
161,2.66586,2.87793,0.0703125,161,2.6708,2.88288,0.0703125,161,2.6737,2.88577,0.0703125,161,2.65779,2.86986,0.0703125,161,2.65421,2.86629,0.0703125,161,2.64588,2.85796,0.0703125
