step_mut67_5MR1bgr, cross_entropy_mut67_5MR1bgr, loss_mut67_5MR1bgr, train_accuracy_mut67_5MR1bgr,step_mut67_5MR1brg, cross_entropy_mut67_5MR1brg, loss_mut67_5MR1brg, train_accuracy_mut67_5MR1brg,step_mut67_5MR1gbr, cross_entropy_mut67_5MR1gbr, loss_mut67_5MR1gbr, train_accuracy_mut67_5MR1gbr,step_mut67_5MR1grb, cross_entropy_mut67_5MR1grb, loss_mut67_5MR1grb, train_accuracy_mut67_5MR1grb,step_mut67_5MR1rbg, cross_entropy_mut67_5MR1rbg, loss_mut67_5MR1rbg, train_accuracy_mut67_5MR1rbg,step_mut67_5MR1rgb, cross_entropy_mut67_5MR1rgb, loss_mut67_5MR1rgb, train_accuracy_mut67_5MR1rgb
1,2.50741,2.67958,0.101563,1,2.50641,2.67858,0.109375,1,2.50984,2.68201,0.09375,1,2.47969,2.65186,0.09375,1,2.50893,2.6811,0.0859375,1,2.48416,2.65633,0.09375
41,1.87783,2.05147,0.289063,41,1.76697,1.94124,0.304688,41,1.712,1.88567,0.359375,41,1.72081,1.89468,0.359375,41,1.72209,1.89603,0.335938,41,1.78219,1.9561,0.335938
81,1.60982,1.78349,0.390625,81,1.51907,1.6936,0.445313,81,1.62977,1.8031,0.40625,81,1.66325,1.83756,0.421875,81,1.62066,1.79439,0.445313,81,1.6268,1.80061,0.40625
121,1.46582,1.63946,0.445313,121,1.44837,1.62324,0.476563,121,1.57758,1.75067,0.414063,121,1.60418,1.77846,0.4375,121,1.47942,1.6529,0.476563,121,1.48257,1.65616,0.53125
161,1.30578,1.47995,0.546875,161,1.29642,1.47209,0.507813,161,1.50653,1.67971,0.453125,161,1.41835,1.59297,0.492188,161,1.32846,1.50236,0.5,161,1.36487,1.53873,0.5
