step, cross_entropy, loss, train_accuracy
1,2.50893,2.6811,0.0859375
41,1.72209,1.89603,0.335938
81,1.62066,1.79439,0.445313
121,1.47942,1.6529,0.476563
161,1.32846,1.50236,0.5
