step_mut9_150MR1bgr, cross_entropy_mut9_150MR1bgr, loss_mut9_150MR1bgr, train_accuracy_mut9_150MR1bgr,step_mut9_150MR1brg, cross_entropy_mut9_150MR1brg, loss_mut9_150MR1brg, train_accuracy_mut9_150MR1brg,step_mut9_150MR1gbr, cross_entropy_mut9_150MR1gbr, loss_mut9_150MR1gbr, train_accuracy_mut9_150MR1gbr,step_mut9_150MR1grb, cross_entropy_mut9_150MR1grb, loss_mut9_150MR1grb, train_accuracy_mut9_150MR1grb,step_mut9_150MR1rbg, cross_entropy_mut9_150MR1rbg, loss_mut9_150MR1rbg, train_accuracy_mut9_150MR1rbg,step_mut9_150MR1rgb, cross_entropy_mut9_150MR1rgb, loss_mut9_150MR1rgb, train_accuracy_mut9_150MR1rgb
1,2.49155,2.70362,0.109375,1,2.50613,2.71821,0.109375,1,2.50385,2.71592,0.109375,1,2.54445,2.75653,0.109375,1,2.516,2.72808,0.109375,1,2.53243,2.74451,0.109375
101,1.59437,1.80763,0.273438,101,1.62032,1.8337,0.269531,101,1.76108,1.97431,0.253906,101,1.62598,1.83941,0.265625,101,1.64903,1.86144,0.230469,101,1.67371,1.88688,0.273438
201,1.38475,1.59715,0.346354,201,1.42346,1.63534,0.356771,201,1.38001,1.59241,0.351563,201,1.37633,1.58888,0.361979,201,1.47849,1.69,0.317708,201,1.34113,1.55316,0.361979
237,1.42381,1.63644,0.414063,237,1.39806,1.61004,0.421875,237,1.31466,1.52719,0.546875,237,1.19533,1.40801,0.554688,237,1.51622,1.72806,0.429688,237,1.36514,1.5772,0.484375
337,1.20095,1.41492,0.476563,337,1.16312,1.37642,0.492188,337,1.05666,1.27053,0.609375,337,1.09955,1.3138,0.574219,337,1.11439,1.32758,0.496094,337,1.10578,1.319,0.535156
437,1.11088,1.3276,0.518229,437,1.02177,1.23765,0.528646,437,1.0208,1.2371,0.627604,437,0.908548,1.12581,0.611979,437,1.04756,1.2635,0.546875,437,1.11585,1.33122,0.552083
473,0.912952,1.13046,0.65625,473,0.864893,1.08186,0.710938,473,0.88691,1.1044,0.65625,473,0.879974,1.09834,0.679688,473,0.894501,1.1113,0.65625,473,0.945982,1.16217,0.640625
573,0.954202,1.17433,0.65625,573,0.872636,1.09325,0.71875,573,0.86456,1.08586,0.671875,573,0.866369,1.0882,0.679688,573,0.84647,1.06716,0.636719,573,0.839453,1.05835,0.671875
673,0.767474,0.991311,0.677083,673,0.730728,0.956222,0.723958,673,0.843005,1.06913,0.671875,673,0.704748,0.931508,0.700521,673,0.856058,1.08135,0.651042,673,0.902918,1.12577,0.677083
709,0.741549,0.967055,0.726563,709,0.589416,0.816698,0.789063,709,0.601469,0.829668,0.765625,709,0.606166,0.834707,0.828125,709,0.649591,0.876526,0.765625,709,0.616745,0.841094,0.796875
809,0.704269,0.935123,0.722656,809,0.517137,0.749686,0.800781,809,0.593627,0.828027,0.773438,809,0.639728,0.87389,0.796875,809,0.649033,0.881249,0.769531,809,0.510469,0.739529,0.808594
909,0.623569,0.860255,0.747396,909,0.588976,0.827805,0.799479,909,0.509539,0.750613,0.786458,909,0.670481,0.911314,0.783854,909,0.584276,0.823438,0.778646,909,0.676581,0.911543,0.791667
945,0.496381,0.735163,0.820313,945,0.569256,0.810169,0.8125,945,0.396291,0.639784,0.875,945,0.604452,0.847768,0.757813,945,0.433698,0.675545,0.835938,945,0.524488,0.761562,0.828125
1045,0.455237,0.70013,0.828125,1045,0.388115,0.635943,0.835938,1045,0.508967,0.759294,0.839844,1045,0.417091,0.666655,0.804688,1045,0.424172,0.673251,0.835938,1045,0.504862,0.747707,0.828125
1145,0.46363,0.716029,0.830729,1145,0.385193,0.639407,0.851563,1145,0.368411,0.626768,0.859375,1145,0.594739,0.851396,0.815104,1145,0.368029,0.624714,0.854167,1145,0.502701,0.752706,0.822917
1181,0.489677,0.744714,0.8125,1181,0.366708,0.623374,0.875,1181,0.298722,0.560036,0.890625,1181,0.345744,0.604498,0.867188,1181,0.368229,0.62768,0.835938,1181,0.421828,0.673626,0.851563
1281,0.36772,0.629962,0.835938,1281,0.321841,0.586174,0.878906,1281,0.413766,0.682467,0.882813,1281,0.269222,0.534522,0.898438,1281,0.228542,0.495072,0.886719,1281,0.368634,0.626494,0.855469
1381,0.310126,0.579842,0.864583,1381,0.325438,0.596355,0.882813,1381,0.289713,0.56536,0.888021,1381,0.312544,0.583759,0.890625,1381,0.245736,0.519581,0.903646,1381,0.325516,0.589973,0.864583
1417,0.332822,0.604787,0.882813,1417,0.315182,0.588081,0.890625,1417,0.196003,0.473961,0.914063,1417,0.327953,0.601534,0.890625,1417,0.205989,0.481909,0.90625,1417,0.378688,0.645079,0.867188
1517,0.340787,0.619295,0.886719,1517,0.27769,0.557148,0.894531,1517,0.290898,0.575507,0.910156,1517,0.166273,0.446607,0.921875,1517,0.321298,0.603466,0.898438,1517,0.246384,0.52027,0.898438
1617,0.276168,0.560362,0.898438,1617,0.11242,0.396006,0.916667,1617,0.22753,0.517415,0.914063,1617,0.25015,0.53556,0.927083,1617,0.155812,0.444802,0.911458,1617,0.269535,0.548325,0.908854
1653,0.216531,0.502368,0.921875,1653,0.170177,0.454561,0.945313,1653,0.263903,0.555782,0.921875,1653,0.121863,0.408358,0.960938,1653,0.217279,0.507118,0.953125,1653,0.249863,0.529799,0.898438
1753,0.253423,0.544757,0.921875,1753,0.251695,0.542354,0.933594,1753,0.257364,0.554624,0.925781,1753,0.247012,0.539337,0.949219,1753,0.127153,0.423078,0.957031,1753,0.213791,0.500285,0.914063
1853,0.228852,0.524485,0.914063,1853,0.137209,0.431078,0.934896,1853,0.16536,0.466025,0.927083,1853,0.243163,0.539145,0.942708,1853,0.223363,0.522232,0.945313,1853,0.215585,0.505715,0.919271
1889,0.2382,0.535442,0.90625,1889,0.131951,0.426839,0.960938,1889,0.141458,0.442443,0.945313,1889,0.17803,0.475821,0.945313,1889,0.145689,0.446242,0.9375,1889,0.14824,0.439291,0.953125
1989,0.122078,0.42253,0.925781,1989,0.132661,0.43188,0.949219,1989,0.145067,0.447549,0.953125,1989,0.171125,0.472084,0.945313,1989,0.154107,0.458968,0.9375,1989,0.125179,0.42206,0.953125
2089,0.168621,0.47175,0.934896,2089,0.118634,0.419468,0.950521,2089,0.0705625,0.375654,0.958333,2089,0.137245,0.441598,0.945313,2089,0.0735233,0.379538,0.945313,2089,0.221189,0.520133,0.947917
2125,0.184844,0.488711,0.929688,2125,0.141923,0.443013,0.953125,2125,0.142721,0.447741,0.960938,2125,0.137303,0.442902,0.960938,2125,0.136894,0.443186,0.960938,2125,0.255999,0.556527,0.914063
2225,0.110154,0.415837,0.949219,2225,0.105139,0.408899,0.953125,2225,0.174344,0.481753,0.949219,2225,0.107426,0.417546,0.96875,2225,0.156872,0.467156,0.960938,2225,0.126591,0.430331,0.933594
2325,0.0852929,0.394018,0.950521,2325,0.210688,0.517532,0.9375,2325,0.138996,0.445985,0.940104,2325,0.0918341,0.401617,0.96875,2325,0.0534984,0.36532,0.966146,2325,0.221577,0.527047,0.921875
2361,0.0873734,0.395763,0.945313,2361,0.119776,0.426754,0.953125,2361,0.109171,0.415875,0.953125,2361,0.0646514,0.374187,0.984375,2361,0.0701359,0.381608,0.976563,2361,0.189894,0.495789,0.914063
2461,0.0877725,0.396144,0.957031,2461,0.0853878,0.393087,0.960938,2461,0.0781458,0.385519,0.960938,2461,0.126891,0.437664,0.964844,2461,0.13486,0.448504,0.964844,2461,0.0842015,0.391285,0.941406
2561,0.111487,0.420793,0.953125,2561,0.169764,0.478163,0.963542,2561,0.165389,0.473986,0.960938,2561,0.116248,0.426176,0.971354,2561,0.04382,0.357808,0.971354,2561,0.0936184,0.401684,0.950521
2597,0.110893,0.42015,0.960938,2597,0.0604244,0.36837,0.96875,2597,0.073164,0.382268,0.96875,2597,0.0431397,0.35312,1.0,2597,0.115197,0.428985,0.960938,2597,0.0630587,0.370348,0.976563
2697,0.118151,0.428206,0.964844,2697,0.135273,0.44388,0.957031,2697,0.138115,0.446815,0.953125,2697,0.0976185,0.409108,0.988281,2697,0.0824847,0.396161,0.964844,2697,0.0868095,0.393519,0.976563
2797,0.0842423,0.393498,0.966146,2797,0.0511981,0.359951,0.96875,2797,0.0465246,0.355063,0.963542,2797,0.193769,0.504131,0.976563,2797,0.107627,0.420351,0.958333,2797,0.171054,0.477138,0.96875
2833,0.118115,0.42653,0.9375,2833,0.103255,0.410797,0.96875,2833,0.0582533,0.365468,0.976563,2833,0.160536,0.471499,0.960938,2833,0.0999287,0.412717,0.96875,2833,0.0882931,0.39428,0.976563
2933,0.0868447,0.3961,0.957031,2933,0.162291,0.465758,0.964844,2933,0.053704,0.360061,0.976563,2933,0.0426827,0.354611,0.980469,2933,0.0746795,0.387166,0.976563,2933,0.0820582,0.389311,0.96875
3033,0.0334919,0.340044,0.96875,3033,0.115824,0.419634,0.955729,3033,0.074117,0.379246,0.976563,3033,0.138508,0.449355,0.971354,3033,0.0738314,0.384576,0.976563,3033,0.0689233,0.374385,0.96875
3069,0.0414662,0.346759,0.984375,3069,0.0569293,0.359685,0.984375,3069,0.0358333,0.340025,1.0,3069,0.0961712,0.406581,0.96875,3069,0.0799038,0.388896,0.984375,3069,0.0300584,0.33423,0.992188
3169,0.0502454,0.355619,0.988281,3169,0.0588139,0.358738,0.980469,3169,0.0666339,0.366901,0.992188,3169,0.142732,0.453333,0.953125,3169,0.0835822,0.391748,0.984375,3169,0.0572178,0.360941,0.988281
3269,0.083201,0.387551,0.981771,3269,0.0910158,0.391601,0.979167,3269,0.0828324,0.382961,0.984375,3269,0.0629846,0.371244,0.963542,3269,0.0184827,0.324293,0.989583,3269,0.130183,0.432907,0.976563
3305,0.0358314,0.339078,0.992188,3305,0.0985756,0.399108,0.945313,3305,0.053006,0.351489,0.976563,3305,0.0700577,0.376761,0.984375,3305,0.0808837,0.385882,0.960938,3305,0.090887,0.393019,0.96875
3405,0.0422918,0.343168,0.992188,3405,0.0795716,0.37832,0.960938,3405,0.0337784,0.331357,0.984375,3405,0.10408,0.409283,0.980469,3405,0.0537059,0.356389,0.972656,3405,0.0845018,0.386969,0.972656
3505,0.0332251,0.333193,0.992188,3505,0.0509139,0.349785,0.966146,3505,0.0326844,0.32828,0.986979,3505,0.128501,0.431146,0.979167,3505,0.0656383,0.368634,0.973958,3505,0.0589525,0.360165,0.976563
