step_BGR, cross_entropy_BGR, loss_BGR, train_accuracy_BGR,step_BRG, cross_entropy_BRG, loss_BRG, train_accuracy_BRG,step_GRB, cross_entropy_GRB, loss_GRB, train_accuracy_GRB,step_GBR, cross_entropy_GBR, loss_GBR, train_accuracy_GBR,step_RBG, cross_entropy_RBG, loss_RBG, train_accuracy_RBG,step_RGB, cross_entropy_RGB, loss_RGB, train_accuracy_RGB
2752,1.81376,2.09474,0.375,2752,1.73631,2.01762,0.414063,2752,2.02351,2.30445,0.289063,2752,1.96885,2.24961,0.335938,2752,1.93856,2.21945,0.328125,2752,1.62479,1.90609,0.421875
2852,1.75799,2.03888,0.394531,2852,1.61985,1.90109,0.410156,2852,1.91686,2.19768,0.308594,2852,1.91995,2.20057,0.347656,2852,1.80319,2.08396,0.375,2852,1.66433,1.94553,0.425781
2952,1.75486,2.03563,0.408854,2952,1.59986,1.88104,0.429688,2952,1.92645,2.20714,0.325521,2952,1.94494,2.22544,0.346354,2952,1.89443,2.17509,0.372396,2952,1.72554,2.00665,0.414063
3052,1.74816,2.02884,0.419922,3052,1.44429,1.7254,0.441406,3052,1.92054,2.20109,0.333984,3052,1.92406,2.20441,0.351563,3052,1.7935,2.07404,0.380859,3052,1.62551,1.90651,0.421875
3145,1.75409,2.03469,0.429688,3145,1.4445,1.72556,0.429688,3145,2.00195,2.28239,0.3125,3145,1.94671,2.22695,0.34375,3145,1.88584,2.16629,0.375,3145,1.58377,1.86469,0.453125
3245,1.66975,1.95026,0.421875,3245,1.48879,1.76979,0.429688,3245,1.89211,2.17243,0.328125,3245,1.89308,2.17319,0.351563,3245,1.76581,2.04613,0.421875,3245,1.61303,1.89385,0.433594
3345,1.68835,1.96879,0.4375,3345,1.30825,1.58921,0.46875,3345,1.89986,2.18006,0.346354,3345,1.903,2.18299,0.348958,3345,1.87111,2.15134,0.395833,3345,1.66547,1.94621,0.432292
3445,1.66237,1.94272,0.443359,3445,1.37374,1.65464,0.486328,3445,1.90803,2.18809,0.351563,3445,1.89838,2.17823,0.353516,3445,1.78422,2.06433,0.394531,3445,1.59308,1.87371,0.441406
3538,1.70587,1.98615,0.414063,3538,1.32415,1.60503,0.476563,3538,1.98274,2.26268,0.335938,3538,1.92859,2.20834,0.351563,3538,1.84239,2.12241,0.382813,3538,1.55677,1.83732,0.421875
3638,1.63171,1.91192,0.425781,3638,1.37647,1.6573,0.5,3638,1.86702,2.14684,0.347656,3638,1.87161,2.15124,0.375,3638,1.74441,2.02432,0.421875,3638,1.56523,1.84568,0.425781
