step, cross_entropy, loss, train_accuracy
1,2.51013,2.72213,0.0625
101,1.60835,1.82182,0.261719
201,1.2179,1.43224,0.364583
301,0.944566,1.1649,0.435547
394,0.832559,1.06297,0.734375
494,0.716924,0.961674,0.71875
594,0.561435,0.823153,0.752604
694,0.34083,0.620945,0.787109
787,0.365378,0.664014,0.851563
887,0.308746,0.623947,0.863281
987,0.186664,0.518158,0.890625
1087,0.249711,0.59458,0.896484
1180,0.114044,0.470247,0.96875
1280,0.0722214,0.432139,0.972656
1380,0.00289549,0.353195,0.981771
1480,0.000930293,0.337939,0.986328
1573,0.00103126,0.325951,1.0
1673,0.000926357,0.31332,1.0
1773,0.00102369,0.301368,1.0
1873,0.000736662,0.289507,1.0
1966,0.000863012,0.279278,1.0
2066,0.000949687,0.268658,1.0
2166,0.000992086,0.25841,1.0
2266,0.000712245,0.248252,1.0
2359,0.000873968,0.239579,1.0
2459,0.00101704,0.230587,1.0
2559,0.00101539,0.221806,1.0
2659,0.00071052,0.213074,1.0
2752,0.000889469,0.205715,1.0
2852,0.00109392,0.198126,1.0
2952,0.00102485,0.190565,1.0
3052,0.000701156,0.18305,1.0
3145,0.000895797,0.176812,1.0
3245,0.00116505,0.17043,1.0
3345,0.00101623,0.163885,1.0
3445,0.000690129,0.15742,1.0
3538,0.000894364,0.152134,1.0
3638,0.00121361,0.146776,1.0
3738,0.000999391,0.1411,1.0
3838,0.00067997,0.135539,1.0
3931,0.000885364,0.131102,1.0
4031,0.00117069,0.130894,1.0
4131,0.000985169,0.130216,1.0
4231,0.000660937,0.129402,1.0
4324,0.000886891,0.129175,1.0
4424,0.00118434,0.128987,1.0
4524,0.00098208,0.1283,1.0
4624,0.000663418,0.127499,1.0
4717,0.000886916,0.127276,1.0
4817,0.00119212,0.127104,1.0
4917,0.000980186,0.126415,1.0
5017,0.000664738,0.125625,1.0
5110,0.000886345,0.125407,1.0
5210,0.00119744,0.125248,1.0
5310,0.000978728,0.12456,1.0
5410,0.0006654,0.12378,1.0
5503,0.000885439,0.123567,1.0
5603,0.00120178,0.123421,1.0
5703,0.000977347,0.122734,1.0
5803,0.000665809,0.121963,1.0
