step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1,2.5297,2.74171,0.0625,1,2.51064,2.72265,0.0625,1,2.52076,2.73276,0.078125,1,2.53268,2.74468,0.0703125,1,2.51013,2.72213,0.0625,1,2.49557,2.70758,0.0625,1,2.52349,2.73549,0.0625,1,2.51363,2.72563,0.0625
101,1.55655,1.77013,0.257813,101,1.59525,1.8079,0.246094,101,1.67582,1.88844,0.21875,101,1.57199,1.78411,0.242188,101,1.60835,1.82182,0.261719,101,1.51642,1.72921,0.257813,101,1.59189,1.80604,0.222656,101,1.4687,1.6822,0.273438
201,1.14131,1.3563,0.367188,201,1.20984,1.42304,0.354167,201,1.31754,1.53089,0.3125,201,1.37002,1.58203,0.325521,201,1.2179,1.43224,0.364583,201,1.17134,1.38515,0.372396,201,1.11772,1.33336,0.348958,201,1.26617,1.48117,0.346354
301,0.989668,1.21142,0.445313,301,1.11458,1.33323,0.408203,301,1.11785,1.33632,0.384766,301,1.14334,1.35959,0.390625,301,0.944566,1.1649,0.435547,301,1.09741,1.31668,0.423828,301,0.939463,1.16194,0.4375,301,1.05577,1.27853,0.416016
394,0.872731,1.10606,0.71875,394,0.742254,0.970025,0.789063,394,0.890423,1.11793,0.710938,394,0.866013,1.09024,0.6875,394,0.832559,1.06297,0.734375,394,0.822003,1.05061,0.695313,394,0.718871,0.952818,0.742188,394,0.871286,1.10551,0.726563
494,0.576365,0.824667,0.746094,494,0.759596,1.00229,0.761719,494,0.684809,0.926791,0.710938,494,0.833513,1.07092,0.691406,494,0.716924,0.961674,0.71875,494,0.642643,0.886011,0.734375,494,0.618491,0.869498,0.75,494,0.556327,0.807365,0.777344
594,0.432418,0.699807,0.773438,594,0.51965,0.78149,0.773438,594,0.433991,0.6925,0.755208,594,0.516948,0.770996,0.736979,594,0.561435,0.823153,0.752604,594,0.464725,0.725459,0.755208,594,0.415571,0.687051,0.783854,594,0.42996,0.699909,0.794271
694,0.284975,0.572211,0.804688,694,0.377684,0.659611,0.794922,694,0.312937,0.588991,0.785156,694,0.499901,0.772761,0.759766,694,0.34083,0.620945,0.787109,694,0.367308,0.645638,0.779297,694,0.418738,0.711378,0.800781,694,0.453365,0.743467,0.794922
787,0.268854,0.57199,0.90625,787,0.244763,0.543684,0.929688,787,0.261112,0.553441,0.929688,787,0.289231,0.581814,0.90625,787,0.365378,0.664014,0.851563,787,0.221265,0.515727,0.929688,787,0.255931,0.56575,0.921875,787,0.196105,0.501319,0.90625
887,0.170123,0.487432,0.929688,887,0.413556,0.729326,0.898438,887,0.165005,0.471541,0.9375,887,0.179474,0.486561,0.925781,887,0.308746,0.623947,0.863281,887,0.275544,0.585728,0.910156,887,0.183598,0.506598,0.933594,887,0.245101,0.566276,0.910156
