step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1966,0.307652,0.582294,0.914063,1966,0.476891,0.733648,0.828125,1966,0.187746,0.460569,0.945313,1966,0.255976,0.525329,0.921875,1966,0.532094,0.785527,0.796875,1966,0.48656,0.752543,0.8125,1966,0.193131,0.464202,0.9375,1966,0.514832,0.776797,0.78125
2066,0.371761,0.650975,0.882813,2066,0.609946,0.873457,0.804688,2066,0.384425,0.662069,0.894531,2066,0.4365,0.709655,0.886719,2066,0.73311,0.992581,0.777344,2066,0.553101,0.824928,0.8125,2066,0.377988,0.653817,0.898438,2066,0.526278,0.793831,0.820313
2166,0.323007,0.6068,0.885417,2166,0.579664,0.849428,0.796875,2166,0.281406,0.563717,0.890625,2166,0.300128,0.577851,0.888021,2166,0.610975,0.876133,0.783854,2166,0.561549,0.839906,0.8125,2166,0.315796,0.595702,0.903646,2166,0.572825,0.847027,0.8125
2266,0.315197,0.602349,0.888672,2266,0.385636,0.661634,0.810547,2266,0.254433,0.541522,0.896484,2266,0.286701,0.567927,0.888672,2266,0.565787,0.837069,0.794922,2266,0.428102,0.712447,0.818359,2266,0.22226,0.506429,0.912109,2266,0.612891,0.89397,0.798828
2359,0.240503,0.532558,0.929688,2359,0.326246,0.608523,0.898438,2359,0.15324,0.443898,0.945313,2359,0.242618,0.528657,0.898438,2359,0.370254,0.647474,0.859375,2359,0.419908,0.709812,0.851563,2359,0.19387,0.482866,0.953125,2359,0.402819,0.69018,0.84375
2459,0.358513,0.654268,0.890625,2459,0.61832,0.906323,0.839844,2459,0.236835,0.531192,0.917969,2459,0.33935,0.628695,0.890625,2459,0.53359,0.81739,0.828125,2459,0.392284,0.68823,0.84375,2459,0.361876,0.654948,0.933594,2459,0.437325,0.731432,0.835938
2559,0.271007,0.570438,0.90625,2559,0.426964,0.721405,0.854167,2559,0.158718,0.456178,0.927083,2559,0.32712,0.620423,0.903646,2559,0.418406,0.708261,0.825521,2559,0.478667,0.78095,0.84375,2559,0.184341,0.481829,0.934896,2559,0.390143,0.69097,0.846354
2659,0.246154,0.548358,0.908203,2659,0.404804,0.705824,0.853516,2659,0.267529,0.568303,0.917969,2659,0.175176,0.471717,0.914063,2659,0.497854,0.794122,0.833984,2659,0.292381,0.600799,0.863281,2659,0.223487,0.524003,0.933594,2659,0.387262,0.695026,0.841797
2752,0.153693,0.459183,0.9375,2752,0.369742,0.676887,0.835938,2752,0.161528,0.466221,0.945313,2752,0.144038,0.445473,0.9375,2752,0.241698,0.544192,0.914063,2752,0.405815,0.719865,0.867188,2752,0.125621,0.429268,0.953125,2752,0.266392,0.580392,0.898438
2852,0.290099,0.598012,0.90625,2852,0.467782,0.781054,0.839844,2852,0.274864,0.581883,0.921875,2852,0.333698,0.638006,0.90625,2852,0.472925,0.782097,0.875,2852,0.377356,0.696798,0.851563,2852,0.213971,0.52107,0.941406,2852,0.302026,0.622038,0.898438
2952,0.28832,0.598139,0.90625,2952,0.385664,0.703953,0.84375,2952,0.143842,0.453497,0.921875,2952,0.165476,0.472164,0.919271,2952,0.415634,0.730436,0.861979,2952,0.235315,0.559932,0.867188,2952,0.222793,0.531813,0.9375,2952,0.276693,0.602784,0.908854
3052,0.133092,0.44442,0.916016,3052,0.275535,0.599764,0.867188,3052,0.176521,0.487873,0.919922,3052,0.235384,0.544926,0.917969,3052,0.388807,0.708603,0.859375,3052,0.333153,0.663118,0.871094,3052,0.249371,0.560297,0.935547,3052,0.427862,0.75938,0.892578
3145,0.152975,0.465857,0.96875,3145,0.277151,0.60722,0.875,3145,0.0885017,0.402989,0.96875,3145,0.125499,0.436907,0.953125,3145,0.21028,0.536068,0.929688,3145,0.305452,0.640021,0.914063,3145,0.0950489,0.408874,0.960938,3145,0.315874,0.652377,0.859375
3245,0.164704,0.480614,0.960938,3245,0.327005,0.662239,0.886719,3245,0.187133,0.503269,0.949219,3245,0.170131,0.484095,0.949219,3245,0.377664,0.708435,0.890625,3245,0.240341,0.579965,0.910156,3245,0.252414,0.568004,0.941406,3245,0.419492,0.761948,0.855469
3345,0.111787,0.429194,0.963542,3345,0.358164,0.696468,0.877604,3345,0.151806,0.469111,0.947917,3345,0.220703,0.53662,0.950521,3345,0.345353,0.68168,0.888021,3345,0.301528,0.645384,0.90625,3345,0.140907,0.45736,0.942708,3345,0.320462,0.667175,0.861979
3445,0.106528,0.42461,0.962891,3445,0.257592,0.602301,0.886719,3445,0.124568,0.44437,0.949219,3445,0.158591,0.474909,0.953125,3445,0.386489,0.727463,0.884766,3445,0.354963,0.703551,0.894531,3445,0.173341,0.490476,0.9375,3445,0.305445,0.655154,0.869141
3538,0.173085,0.492901,0.960938,3538,0.169787,0.518901,0.9375,3538,0.103034,0.422468,0.953125,3538,0.0960637,0.415987,0.960938,3538,0.198944,0.543961,0.9375,3538,0.245247,0.597482,0.882813,3538,0.1845,0.502752,0.929688,3538,0.19376,0.547715,0.914063
3638,0.173051,0.494499,0.941406,3638,0.391389,0.744627,0.898438,3638,0.183614,0.504131,0.9375,3638,0.190531,0.512118,0.945313,3638,0.308657,0.65794,0.914063,3638,0.256767,0.613067,0.902344,3638,0.162212,0.483046,0.933594,3638,0.259071,0.617858,0.910156
3738,0.1237,0.445291,0.945313,3738,0.225715,0.582351,0.90625,3738,0.110525,0.433084,0.945313,3738,0.10667,0.429819,0.945313,3738,0.24396,0.59749,0.908854,3738,0.231779,0.591516,0.898438,3738,0.0996081,0.419953,0.9375,3738,0.26258,0.625515,0.90625
3838,0.180682,0.502018,0.947266,3838,0.212611,0.57256,0.912109,3838,0.183025,0.505825,0.943359,3838,0.160639,0.483745,0.947266,3838,0.246322,0.603499,0.90625,3838,0.311096,0.674015,0.900391,3838,0.130939,0.452114,0.939453,3838,0.266506,0.632463,0.90625
3931,0.07157,0.393011,0.960938,3931,0.175752,0.538699,0.921875,3931,0.0952053,0.418448,0.953125,3931,0.100337,0.424966,0.953125,3931,0.256052,0.617642,0.898438,3931,0.19186,0.557937,0.921875,3931,0.0982608,0.420272,0.96875,3931,0.148137,0.516042,0.953125
