step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1,2.66512,2.8772,0.0703125,1,2.65015,2.86222,0.0703125,1,2.66408,2.87615,0.0703125,1,2.67571,2.88779,0.0703125,1,2.6598,2.87187,0.0703125,1,2.67303,2.8851,0.0703125,1,2.65804,2.87011,0.0703125,1,2.66029,2.87237,0.0703125
101,1.78455,1.99701,0.199219,101,1.67399,1.88647,0.21875,101,1.76039,1.97178,0.21875,101,1.73159,1.94323,0.195313,101,1.75236,1.96513,0.191406,101,1.81157,2.02307,0.191406,101,1.66028,1.87293,0.207031,101,1.80037,2.01233,0.191406
201,1.39882,1.60952,0.283854,201,1.38115,1.5935,0.309896,201,1.43371,1.64386,0.291667,201,1.48356,1.69377,0.265625,201,1.35664,1.56907,0.278646,201,1.62039,1.82959,0.236979,201,1.31895,1.53134,0.291667,201,1.52324,1.73278,0.265625
301,1.29969,1.51047,0.339844,301,1.23468,1.44776,0.384766,301,1.33082,1.53982,0.349609,301,1.43679,1.64593,0.3125,301,1.32665,1.53948,0.349609,301,1.45235,1.65964,0.296875,301,1.27733,1.49081,0.357422,301,1.46769,1.67628,0.318359
394,1.08075,1.29233,0.609375,394,1.06124,1.27526,0.59375,394,1.16478,1.37355,0.585938,394,1.29696,1.50533,0.539063,394,1.02683,1.24032,0.617188,394,1.24175,1.44827,0.53125,394,1.05106,1.26568,0.640625,394,1.18693,1.39542,0.585938
494,1.15658,1.36944,0.59375,494,1.03665,1.25228,0.601563,494,1.21233,1.42237,0.535156,494,1.19344,1.40213,0.535156,494,1.15062,1.36561,0.5625,494,1.29283,1.49993,0.503906,494,1.11914,1.33584,0.601563,494,1.24431,1.45324,0.550781
594,1.00158,1.21658,0.598958,594,0.956988,1.17464,0.619792,594,1.13375,1.34515,0.541667,594,1.11808,1.32738,0.559896,594,1.11578,1.33291,0.559896,594,1.32894,1.53682,0.502604,594,0.8647,1.08328,0.622396,594,1.17086,1.38081,0.554688
694,0.992799,1.20972,0.613281,694,0.956701,1.17645,0.630859,694,1.05054,1.2639,0.556641,694,1.15057,1.36165,0.566406,694,0.996926,1.21677,0.585938,694,1.16289,1.37207,0.523438,694,0.960738,1.18197,0.634766,694,1.22014,1.43073,0.552734
787,0.703811,0.923102,0.742188,787,0.59872,0.820799,0.78125,787,0.891082,1.10625,0.679688,787,0.997741,1.21061,0.640625,787,0.664061,0.886252,0.765625,787,0.942949,1.15352,0.664063,787,0.613823,0.837301,0.78125,787,0.911495,1.12316,0.671875
887,0.795761,1.01747,0.722656,887,0.828219,1.05342,0.738281,887,1.05625,1.27425,0.636719,887,0.990899,1.20649,0.625,887,0.920599,1.14587,0.699219,887,1.10283,1.3153,0.628906,887,0.780882,1.00742,0.738281,887,1.0137,1.22709,0.65625
987,0.788286,1.01315,0.716146,987,0.754421,0.982611,0.739583,987,0.865805,1.08637,0.645833,987,0.900957,1.11884,0.643229,987,0.844564,1.07287,0.708333,987,0.970436,1.18489,0.611979,987,0.594421,0.824296,0.752604,987,0.896274,1.11151,0.651042
1087,0.726066,0.954233,0.726563,1087,0.703395,0.934947,0.742188,1087,0.872551,1.09636,0.654297,1087,0.90714,1.12821,0.658203,1087,0.637195,0.869234,0.716797,1087,0.881639,1.09878,0.632813,1087,0.694088,0.927552,0.75,1087,0.941149,1.15896,0.646484
1180,0.551903,0.784075,0.789063,1180,0.383441,0.61877,0.882813,1180,0.625064,0.8524,0.75,1180,0.781007,1.00527,0.71875,1180,0.341716,0.577423,0.890625,1180,0.832387,1.0525,0.710938,1180,0.379096,0.6162,0.859375,1180,0.716506,0.936993,0.734375
1280,0.605163,0.84124,0.777344,1280,0.603333,0.842856,0.808594,1280,0.902942,1.13442,0.714844,1280,0.771361,0.999848,0.703125,1280,0.647174,0.887078,0.832031,1280,1.00637,1.22956,0.660156,1280,0.680896,0.921908,0.800781,1280,0.860541,1.08437,0.710938
1380,0.547182,0.787776,0.791667,1380,0.576498,0.82059,0.809896,1380,0.647535,0.883268,0.736979,1380,0.74147,0.97386,0.721354,1380,0.627069,0.871435,0.802083,1380,0.765753,0.992923,0.677083,1380,0.550927,0.79636,0.804688,1380,0.747978,0.975126,0.713542
