step, cross_entropy, loss, train_accuracy
1,2.63603,2.84811,0.0546875
101,1.65455,1.86676,0.210938
201,0.824621,1.04562,0.380208
301,0.668929,0.894814,0.478516
401,0.396479,0.623365,0.557813
471,0.606247,0.832598,0.820313
571,0.395436,0.620868,0.847656
671,0.447063,0.67146,0.856771
771,0.368114,0.591553,0.863281
871,0.204178,0.426592,0.875
941,0.419026,0.640473,0.859375
1041,0.197993,0.418596,0.902344
1141,0.283085,0.502607,0.903646
1241,0.250257,0.468596,0.90625
1341,0.163379,0.381101,0.914063
1411,0.314862,0.532068,0.898438
1511,0.174585,0.391477,0.921875
1611,0.179166,0.39531,0.932292
1711,0.173229,0.389032,0.9375
1811,0.177624,0.393353,0.935938
1881,0.228947,0.444466,0.9375
1981,0.0838819,0.29934,0.953125
2081,0.149984,0.36491,0.953125
2181,0.142887,0.357866,0.953125
2281,0.138181,0.353031,0.953125
2351,0.196032,0.411226,0.953125
2451,0.0420715,0.256933,0.972656
2551,0.0827784,0.297335,0.973958
2651,0.168966,0.383993,0.970703
2751,0.0566743,0.271183,0.971875
2821,0.161805,0.375816,0.953125
2921,0.0362017,0.250082,0.972656
3021,0.187917,0.401353,0.963542
3121,0.189362,0.402471,0.957031
3221,0.11128,0.325515,0.957812
3291,0.116938,0.330445,0.976563
3391,0.0911766,0.304514,0.972656
3491,0.13056,0.343351,0.966146
3591,0.0921935,0.305831,0.966797
3691,0.0667809,0.278902,0.967188
3761,0.13647,0.34811,0.9375
3861,0.0601759,0.272064,0.957031
3961,0.0595171,0.270381,0.96875
4061,0.0984728,0.309432,0.966797
4161,0.08532,0.296693,0.967188
4231,0.149672,0.360804,0.945313
4331,0.0343009,0.245213,0.972656
4431,0.0792668,0.288929,0.973958
4531,0.0711844,0.281478,0.970703
4631,0.0869264,0.296286,0.970312
4701,0.17504,0.38418,0.953125
4801,0.0207113,0.229197,0.972656
4901,0.0187552,0.226513,0.981771
5001,0.00589762,0.21292,0.986328
5101,0.00323527,0.20951,0.989062
5171,0.00507896,0.210821,1.0
5271,0.00917794,0.214173,1.0
5371,0.00611024,0.210357,1.0
5471,0.00325047,0.206749,1.0
5571,0.00205554,0.204798,1.0
5641,0.00444138,0.20665,1.0
5741,0.00531325,0.206771,1.0
5841,0.00391171,0.20462,1.0
5941,0.00237282,0.202333,1.0
6041,0.0016421,0.200851,1.0
6111,0.00384311,0.202522,1.0
6211,0.00398855,0.201922,1.0
6311,0.00297526,0.200166,1.0
6411,0.0018969,0.198346,1.0
6511,0.00139119,0.197097,1.0
6581,0.00331941,0.198501,1.0
6681,0.00326172,0.197707,1.0
6781,0.00243268,0.196143,1.0
6881,0.00159137,0.194569,1.0
6981,0.00122231,0.193466,1.0
