step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1881,0.183569,0.399601,0.976563,1881,0.180672,0.399254,0.945313,1881,0.228947,0.444466,0.9375,1881,0.185371,0.399784,0.9375,1881,0.2007,0.422019,0.9375,1881,0.252823,0.473171,0.898438,1881,0.172504,0.38873,0.945313,1881,0.212319,0.43056,0.929688
1981,0.0663562,0.282379,0.980469,1981,0.100036,0.31874,0.953125,1981,0.0838819,0.29934,0.953125,1981,0.174577,0.389202,0.941406,1981,0.120048,0.341548,0.953125,1981,0.118813,0.339759,0.925781,1981,0.0811115,0.296939,0.960938,1981,0.18377,0.402628,0.933594
2081,0.154423,0.370894,0.971354,2081,0.156302,0.37467,0.955729,2081,0.149984,0.36491,0.953125,2081,0.166358,0.381117,0.940104,2081,0.144714,0.366155,0.953125,2081,0.171399,0.392045,0.929688,2081,0.161319,0.376797,0.955729,2081,0.234716,0.453487,0.932292
2181,0.193256,0.409443,0.966797,2181,0.145062,0.364228,0.960938,2181,0.142887,0.357866,0.953125,2181,0.168978,0.383157,0.939453,2181,0.195012,0.417166,0.953125,2181,0.116972,0.338193,0.933594,2181,0.224568,0.439833,0.949219,2181,0.132508,0.351383,0.9375
2281,0.101005,0.316684,0.9625,2281,0.113041,0.33271,0.9625,2281,0.138181,0.353031,0.953125,2281,0.0801614,0.294616,0.945313,2281,0.140901,0.363345,0.95,2281,0.151841,0.372574,0.934375,2281,0.145149,0.360785,0.948438,2281,0.0469094,0.265541,0.948438
2351,0.185608,0.401391,0.96875,2351,0.134939,0.354907,0.953125,2351,0.196032,0.411226,0.953125,2351,0.174203,0.38837,0.953125,2351,0.126014,0.348349,0.953125,2351,0.178061,0.398678,0.945313,2351,0.205802,0.420905,0.953125,2351,0.235701,0.454506,0.914063
2451,0.0455012,0.261105,0.976563,2451,0.134938,0.355589,0.960938,2451,0.0420715,0.256933,0.972656,2451,0.130639,0.34462,0.953125,2451,0.130503,0.353639,0.960938,2451,0.108601,0.32982,0.957031,2451,0.0951387,0.30984,0.957031,2451,0.140118,0.359916,0.933594
2551,0.177963,0.393484,0.96875,2551,0.129265,0.349807,0.966146,2551,0.0827784,0.297335,0.973958,2551,0.0981615,0.312298,0.960938,2551,0.086569,0.309675,0.96875,2551,0.135731,0.356945,0.958333,2551,0.110844,0.325489,0.958333,2551,0.134019,0.353848,0.945313
2651,0.115508,0.331239,0.966797,2651,0.122138,0.344298,0.962891,2651,0.168966,0.383993,0.970703,2651,0.115444,0.32913,0.960938,2651,0.121903,0.345051,0.96875,2651,0.162162,0.383777,0.955078,2651,0.097652,0.312015,0.962891,2651,0.104425,0.324042,0.951172
2751,0.0971253,0.312747,0.967188,2751,0.103449,0.325581,0.9625,2751,0.0566743,0.271183,0.971875,2751,0.108121,0.322858,0.964063,2751,0.0749933,0.298416,0.970312,2751,0.167754,0.388947,0.95625,2751,0.103096,0.317851,0.9625,2751,0.157212,0.376309,0.951563
