step, cross_entropy, loss, train_accuracy
1,2.65086,2.86294,0.0546875
101,1.81464,2.02462,0.203125
201,1.14858,1.36464,0.356771
301,0.6916,0.915276,0.470703
401,0.468199,0.694618,0.546875
471,0.536877,0.763887,0.8125
571,0.3711,0.598572,0.855469
671,0.414582,0.641432,0.872396
771,0.361488,0.58746,0.875
871,0.284789,0.509846,0.882813
941,0.382934,0.607219,0.859375
1041,0.255028,0.478341,0.886719
1141,0.271383,0.4941,0.898438
1241,0.278347,0.500342,0.908203
1341,0.254059,0.475683,0.90625
1411,0.204484,0.426113,0.953125
1511,0.175583,0.396499,0.941406
1611,0.168288,0.388828,0.942708
1711,0.233944,0.45459,0.941406
1811,0.169501,0.39099,0.940625
1881,0.2007,0.422019,0.9375
1981,0.120048,0.341548,0.953125
2081,0.144714,0.366155,0.953125
2181,0.195012,0.417166,0.953125
2281,0.140901,0.363345,0.95
2351,0.126014,0.348349,0.953125
2451,0.130503,0.353639,0.960938
2551,0.086569,0.309675,0.96875
2651,0.121903,0.345051,0.96875
2751,0.0749933,0.298416,0.970312
2821,0.156001,0.379501,0.953125
2921,0.128829,0.352883,0.957031
3021,0.0626614,0.286271,0.963542
3121,0.128591,0.352546,0.966797
3221,0.066463,0.289887,0.970312
3291,0.0801152,0.303149,0.984375
3391,0.0585285,0.282213,0.980469
3491,0.0730922,0.296801,0.979167
3591,0.145841,0.369105,0.970703
3691,0.105828,0.328534,0.96875
3761,0.177767,0.400919,0.960938
3861,0.133626,0.356641,0.957031
3961,0.0891979,0.3117,0.955729
4061,0.0900078,0.312767,0.960938
4161,0.0598265,0.282175,0.964063
4231,0.0991682,0.321184,0.960938
4331,0.0708507,0.292687,0.976563
4431,0.102,0.323068,0.973958
4531,0.0996374,0.320255,0.970703
4631,0.120974,0.342415,0.965625
4701,0.170094,0.391394,0.945313
4801,0.0153717,0.235973,0.972656
4901,0.0247054,0.244535,0.979167
5001,0.005759,0.224806,0.984375
5101,0.00189498,0.220148,0.9875
5171,0.008165,0.225852,1.0
5271,0.00608737,0.222982,1.0
5371,0.0116247,0.227728,0.997396
5471,0.00299318,0.218303,0.998047
5571,0.00121465,0.215725,0.998438
5641,0.00426885,0.218213,1.0
5741,0.00428435,0.217435,1.0
5841,0.00690764,0.219266,1.0
5941,0.00230144,0.213869,1.0
6041,0.00100263,0.211776,1.0
6111,0.00329716,0.21351,1.0
6211,0.00332788,0.212753,1.0
6311,0.00471736,0.213357,1.0
6411,0.00193317,0.209789,1.0
6511,0.000893371,0.207964,1.0
6581,0.00272072,0.209238,1.0
6681,0.00272453,0.208463,1.0
6781,0.00352239,0.208485,1.0
6881,0.00169667,0.205885,1.0
6981,0.000818448,0.204231,1.0
