step, cross_entropy, loss, train_accuracy
1,2.64766,2.85974,0.0546875
101,1.87083,2.08153,0.183594
201,1.21536,1.43166,0.335938
301,0.754036,0.978162,0.441406
401,0.527401,0.753296,0.520312
471,0.459829,0.685955,0.859375
571,0.395134,0.620921,0.875
671,0.440489,0.664988,0.872396
771,0.403383,0.62681,0.869141
871,0.276643,0.498895,0.879687
941,0.323542,0.545074,0.898438
1041,0.305533,0.526241,0.890625
1141,0.240773,0.460815,0.903646
1241,0.220813,0.440258,0.910156
1341,0.205754,0.42439,0.915625
1411,0.247984,0.466215,0.921875
1511,0.176734,0.395124,0.933594
1611,0.232222,0.450368,0.934896
1711,0.149644,0.367501,0.941406
1811,0.113036,0.331403,0.948438
1881,0.180672,0.399254,0.945313
1981,0.100036,0.31874,0.953125
2081,0.156302,0.37467,0.955729
2181,0.145062,0.364228,0.960938
2281,0.113041,0.33271,0.9625
2351,0.134939,0.354907,0.953125
2451,0.134938,0.355589,0.960938
2551,0.129265,0.349807,0.966146
2651,0.122138,0.344298,0.962891
2751,0.103449,0.325581,0.9625
2821,0.141146,0.363298,0.960938
2921,0.114743,0.337302,0.960938
3021,0.177796,0.401166,0.960938
3121,0.0470875,0.270389,0.96875
3221,0.114121,0.338374,0.965625
3291,0.173799,0.397983,0.960938
3391,0.0526484,0.276872,0.96875
3491,0.088948,0.313591,0.971354
3591,0.0818431,0.307353,0.970703
3691,0.0573962,0.282071,0.975
3761,0.109673,0.333606,0.960938
3861,0.043958,0.268017,0.972656
3961,0.0645758,0.287816,0.971354
4061,0.109698,0.333154,0.972656
4161,0.0754352,0.298928,0.973437
4231,0.0711976,0.294192,0.976563
4331,0.0601365,0.282721,0.972656
4431,0.0510023,0.273161,0.976563
4531,0.0933139,0.314869,0.976563
4631,0.0418533,0.26435,0.979688
4701,0.092536,0.314505,0.96875
4801,0.0226229,0.243902,0.976563
4901,0.0133776,0.233885,0.984375
5001,0.00573892,0.225465,0.988281
5101,0.00945771,0.228396,0.990625
5171,0.0134839,0.231858,0.992188
5271,0.00443628,0.222017,0.996094
5371,0.00361645,0.220402,0.997396
5471,0.00259222,0.218581,0.998047
5571,0.00520091,0.220391,0.998438
5641,0.0078034,0.222427,1.0
5741,0.0034212,0.217249,1.0
5841,0.00258413,0.215618,1.0
5941,0.00189509,0.214133,1.0
6041,0.00359774,0.21504,1.0
6111,0.00519094,0.216072,1.0
6211,0.00257283,0.212663,1.0
6311,0.00208212,0.211384,1.0
6411,0.00154248,0.210057,1.0
6511,0.00277599,0.210502,1.0
6581,0.00401675,0.211188,1.0
6681,0.0021451,0.208535,1.0
6781,0.0017895,0.2074,1.0
6881,0.00133357,0.206166,1.0
6981,0.00227575,0.206331,1.0
