step_org_150MR1bgr, cross_entropy_org_150MR1bgr, loss_org_150MR1bgr, train_accuracy_org_150MR1bgr,step_org_150MR1brg, cross_entropy_org_150MR1brg, loss_org_150MR1brg, train_accuracy_org_150MR1brg,step_org_150MR1gbr, cross_entropy_org_150MR1gbr, loss_org_150MR1gbr, train_accuracy_org_150MR1gbr,step_org_150MR1grb, cross_entropy_org_150MR1grb, loss_org_150MR1grb, train_accuracy_org_150MR1grb,step_org_150MR1rbg, cross_entropy_org_150MR1rbg, loss_org_150MR1rbg, train_accuracy_org_150MR1rbg,step_org_150MR1rgb, cross_entropy_org_150MR1rgb, loss_org_150MR1rgb, train_accuracy_org_150MR1rgb
2511,0.00249929,0.217205,1.0,2511,0.00341269,0.219225,1.0,2511,0.00295495,0.218217,1.0,2511,0.00275868,0.216699,1.0,2511,0.00295598,0.218895,1.0,2511,0.00695104,0.221944,0.997396
2611,0.00305162,0.21701,1.0,2611,0.00372953,0.218777,1.0,2611,0.00450044,0.219001,1.0,2611,0.00489475,0.218073,1.0,2611,0.00376916,0.218945,1.0,2611,0.00396361,0.218234,0.998047
2696,0.0030133,0.21632,1.0,2696,0.00255642,0.21695,1.0,2696,0.00249015,0.216339,1.0,2696,0.00283687,0.215367,1.0,2696,0.0036588,0.218185,1.0,2696,0.0127532,0.226617,1.0
2796,0.00259958,0.21514,1.0,2796,0.00341239,0.217037,1.0,2796,0.00233866,0.215419,1.0,2796,0.00266221,0.21443,1.0,2796,0.00370266,0.217468,1.0,2796,0.00523797,0.218624,1.0
2896,0.00168956,0.213462,1.0,2896,0.00272359,0.215578,1.0,2896,0.00244,0.214754,1.0,2896,0.00241231,0.213421,1.0,2896,0.00246834,0.215466,1.0,2896,0.00267376,0.215338,1.0
2996,0.00237456,0.213382,1.0,2996,0.00308182,0.215167,1.0,2996,0.00402387,0.215573,1.0,2996,0.00399601,0.214244,1.0,2996,0.00311729,0.215348,1.0,2996,0.00426981,0.216189,1.0
3081,0.00249348,0.21285,1.0,3081,0.00220681,0.213639,1.0,3081,0.00226646,0.213165,1.0,3081,0.00252114,0.212125,1.0,3081,0.00325065,0.214831,1.0,3081,0.00318487,0.214497,1.0
3181,0.00228662,0.211878,1.0,3181,0.0029582,0.213625,1.0,3181,0.00215369,0.212288,1.0,3181,0.00240933,0.211256,1.0,3181,0.00258087,0.213396,1.0,3181,0.00260275,0.213169,1.0
3281,0.00153976,0.210368,1.0,3281,0.00245554,0.212356,1.0,3281,0.00218395,0.211556,1.0,3281,0.00215099,0.210242,1.0,3281,0.00220043,0.212249,1.0,3281,0.00206874,0.211877,1.0
3381,0.00209168,0.210159,1.0,3381,0.00277553,0.211913,1.0,3381,0.00348189,0.212095,1.0,3381,0.00355347,0.21089,1.0,3381,0.00285441,0.21214,1.0,3381,0.0028874,0.211934,1.0
3466,0.00228076,0.209702,1.0,3466,0.00201036,0.2105,1.0,3466,0.00211535,0.210083,1.0,3466,0.00229205,0.20899,1.0,3466,0.0026749,0.211314,1.0,3466,0.00186701,0.210267,1.0
3566,0.00211969,0.208783,1.0,3566,0.00270432,0.210434,1.0,3566,0.00200742,0.209217,1.0,3566,0.00224449,0.208191,1.0,3566,0.00240521,0.21029,1.0,3566,0.00208712,0.209725,1.0
3666,0.00144413,0.207351,1.0,3666,0.00229156,0.209263,1.0,3666,0.00202438,0.208479,1.0,3666,0.00201623,0.207214,1.0,3666,0.00206216,0.209187,1.0,3666,0.00184696,0.208724,1.0
3766,0.00193752,0.207091,1.0,3766,0.00256786,0.208783,1.0,3766,0.00312191,0.208824,1.0,3766,0.00329965,0.20775,1.0,3766,0.00268848,0.209058,1.0,3766,0.0025121,0.208632,1.0
3851,0.00214436,0.206692,1.0,3851,0.00191675,0.207525,1.0,3851,0.00209548,0.207193,1.0,3851,0.00213242,0.205985,1.0,3851,0.00240057,0.208163,1.0,3851,0.00172897,0.20724,1.0
3951,0.00197907,0.206452,1.0,3951,0.00245443,0.207987,1.0,3951,0.0018776,0.206899,1.0,3951,0.00214365,0.205921,1.0,3951,0.00195064,0.207638,1.0,3951,0.00185188,0.207287,1.0
4051,0.00138228,0.20578,1.0,4051,0.00214954,0.207607,1.0,4051,0.00189784,0.206844,1.0,4051,0.00192076,0.205624,1.0,4051,0.0019275,0.207539,1.0,4051,0.00172384,0.207083,1.0
4151,0.00182758,0.20615,1.0,4151,0.0023101,0.207692,1.0,4151,0.00249176,0.207363,1.0,4151,0.00261382,0.206242,1.0,4151,0.00243292,0.207969,1.0,4151,0.00219337,0.207477,1.0
4236,0.00207065,0.206329,1.0,4236,0.00180966,0.207127,1.0,4236,0.001951,0.206758,1.0,4236,0.0020976,0.205663,1.0,4236,0.00231577,0.207787,1.0,4236,0.00169021,0.20691,1.0
4336,0.00195669,0.20614,1.0,4336,0.00241091,0.207653,1.0,4336,0.00186577,0.206598,1.0,4336,0.00212885,0.20562,1.0,4336,0.00198212,0.207378,1.0,4336,0.00185097,0.206995,1.0
4436,0.00137944,0.205488,1.0,4436,0.00212179,0.207288,1.0,4436,0.00188332,0.20654,1.0,4436,0.00190169,0.205318,1.0,4436,0.00190915,0.207229,1.0,4436,0.00172823,0.206796,1.0
4536,0.00182233,0.205856,1.0,4536,0.00230778,0.207399,1.0,4536,0.00250453,0.207087,1.0,4536,0.00264574,0.205987,1.0,4536,0.00239511,0.20764,1.0,4536,0.00219847,0.207191,1.0
4621,0.00205592,0.206026,1.0,4621,0.0017885,0.206816,1.0,4621,0.00191263,0.206431,1.0,4621,0.00208253,0.205361,1.0,4621,0.002287,0.207468,1.0,4621,0.00167167,0.2066,1.0
4721,0.00194682,0.205841,1.0,4721,0.00238987,0.207342,1.0,4721,0.00184881,0.206292,1.0,4721,0.0021155,0.20532,1.0,4721,0.0019778,0.207083,1.0,4721,0.00183978,0.206692,1.0
4821,0.00137533,0.205195,1.0,4821,0.00210873,0.206985,1.0,4821,0.00187358,0.206242,1.0,4821,0.00189143,0.205021,1.0,4821,0.00189568,0.206925,1.0,4821,0.00172464,0.206502,1.0
4921,0.00181446,0.205559,1.0,4921,0.00229801,0.207099,1.0,4921,0.00249448,0.206787,1.0,4921,0.00266433,0.20572,1.0,4921,0.0023856,0.20734,1.0,4921,0.00219595,0.206897,1.0
5006,0.00204553,0.205726,1.0,5006,0.00177528,0.206512,1.0,5006,0.00189361,0.206123,1.0,5006,0.00207042,0.205062,1.0,5006,0.00226482,0.207155,1.0,5006,0.00165918,0.206296,1.0
5106,0.00193776,0.205544,1.0,5106,0.00237608,0.207038,1.0,5106,0.00183544,0.20599,1.0,5106,0.00210258,0.20502,1.0,5106,0.00196777,0.206783,1.0,5106,0.00182786,0.20639,1.0
5206,0.00137059,0.204902,1.0,5206,0.00209913,0.206686,1.0,5206,0.00186481,0.205944,1.0,5206,0.00188303,0.204726,1.0,5206,0.0018847,0.206624,1.0,5206,0.00171839,0.206205,1.0
5306,0.00180599,0.205262,1.0,5306,0.00228698,0.206798,1.0,5306,0.00248291,0.206487,1.0,5306,0.00267563,0.205445,1.0,5306,0.00237868,0.207043,1.0,5306,0.00218991,0.206601,1.0
5391,0.00203612,0.205429,1.0,5391,0.00176455,0.206212,1.0,5391,0.00188188,0.205822,1.0,5391,0.00205967,0.204766,1.0,5391,0.00224568,0.206846,1.0,5391,0.00164925,0.205996,1.0
5491,0.00192871,0.205246,1.0,5491,0.00236478,0.206737,1.0,5491,0.00182411,0.20569,1.0,5491,0.00209029,0.204722,1.0,5491,0.00195665,0.206481,1.0,5491,0.00181678,0.206088,1.0
5591,0.00136571,0.204609,1.0,5591,0.00209101,0.206388,1.0,5591,0.00185655,0.205647,1.0,5591,0.00187546,0.204433,1.0,5591,0.00187522,0.206324,1.0,5591,0.00171141,0.205907,1.0
5691,0.00179762,0.204966,1.0,5691,0.00227591,0.206498,1.0,5691,0.00247043,0.206186,1.0,5691,0.00268173,0.205165,1.0,5691,0.00237055,0.206745,1.0,5691,0.00218226,0.206303,1.0
