step_mut67_150MR1bgr, cross_entropy_mut67_150MR1bgr, loss_mut67_150MR1bgr, train_accuracy_mut67_150MR1bgr,step_mut67_150MR1brg, cross_entropy_mut67_150MR1brg, loss_mut67_150MR1brg, train_accuracy_mut67_150MR1brg,step_mut67_150MR1gbr, cross_entropy_mut67_150MR1gbr, loss_mut67_150MR1gbr, train_accuracy_mut67_150MR1gbr,step_mut67_150MR1grb, cross_entropy_mut67_150MR1grb, loss_mut67_150MR1grb, train_accuracy_mut67_150MR1grb,step_mut67_150MR1rbg, cross_entropy_mut67_150MR1rbg, loss_mut67_150MR1rbg, train_accuracy_mut67_150MR1rbg,step_mut67_150MR1rgb, cross_entropy_mut67_150MR1rgb, loss_mut67_150MR1rgb, train_accuracy_mut67_150MR1rgb
1,2.50741,2.67958,0.101563,1,2.50641,2.67858,0.109375,1,2.50984,2.68201,0.09375,1,2.47969,2.65186,0.09375,1,2.50893,2.6811,0.0859375,1,2.48416,2.65633,0.09375
101,1.71738,1.89105,0.246094,101,1.68714,1.86149,0.242188,101,1.69126,1.86437,0.214844,101,1.69709,1.8712,0.21875,101,1.68797,1.86152,0.214844,101,1.7601,1.93377,0.199219
201,1.32665,1.50084,0.325521,201,1.37946,1.55504,0.330729,201,1.36056,1.53376,0.307292,201,1.27696,1.45178,0.322917,201,1.30812,1.48251,0.315104,201,1.38209,1.55661,0.289063
301,1.23233,1.40862,0.384766,301,1.2464,1.42435,0.390625,301,1.25932,1.43332,0.376953,301,1.21898,1.39519,0.373047,301,1.24959,1.42594,0.365234,301,1.26818,1.44448,0.357422
394,1.03204,1.21094,0.609375,394,1.02717,1.20782,0.679688,394,1.08175,1.2572,0.578125,394,1.0433,1.22189,0.617188,394,1.05222,1.23084,0.617188,394,0.947124,1.12611,0.679688
494,1.1217,1.30326,0.597656,494,1.13595,1.31973,0.617188,494,1.09016,1.26809,0.585938,494,1.13554,1.31717,0.605469,494,1.13709,1.31835,0.597656,494,1.1182,1.30005,0.632813
594,0.987461,1.17205,0.609375,594,0.992484,1.17958,0.622396,594,1.03993,1.22096,0.580729,594,0.973209,1.15847,0.611979,594,1.03499,1.21904,0.604167,594,0.962989,1.14747,0.638021
694,0.934707,1.12225,0.634766,694,0.984621,1.17505,0.644531,694,1.03372,1.21835,0.601563,694,0.950459,1.13935,0.626953,694,0.957076,1.14411,0.626953,694,1.04874,1.23659,0.634766
787,0.665814,0.856857,0.75,787,0.62531,0.819273,0.75,787,0.733457,0.921388,0.71875,787,0.755032,0.947442,0.710938,787,0.68422,0.874495,0.703125,787,0.679741,0.871018,0.796875
887,0.839756,1.03449,0.699219,887,0.850731,1.0487,0.714844,887,0.832663,1.02454,0.722656,887,1.01446,1.21143,0.652344,887,0.806715,1.00071,0.6875,887,0.86111,1.05617,0.726563
987,0.736791,0.935513,0.705729,987,0.687452,0.889799,0.71875,987,0.778715,0.974312,0.721354,987,0.755367,0.956899,0.677083,987,0.759195,0.957224,0.692708,987,0.657095,0.856235,0.729167
1087,0.654031,0.857166,0.726563,1087,0.620639,0.827702,0.746094,1087,0.827635,1.0281,0.716797,1087,0.604506,0.810713,0.708984,1087,0.663829,0.866154,0.707031,1087,0.667881,0.871929,0.732422
1180,0.514141,0.721683,0.820313,1180,0.395788,0.607624,0.867188,1180,0.503435,0.708484,0.867188,1180,0.464593,0.675154,0.828125,1180,0.459615,0.6667,0.789063,1180,0.515209,0.723969,0.84375
1280,0.748285,0.960946,0.761719,1280,0.578314,0.79523,0.816406,1280,0.584467,0.794396,0.816406,1280,0.687229,0.902908,0.785156,1280,0.606195,0.818455,0.789063,1280,0.624032,0.837675,0.808594
1380,0.606511,0.824362,0.773438,1380,0.495852,0.717145,0.815104,1380,0.533925,0.748794,0.807292,1380,0.634031,0.855542,0.783854,1380,0.548871,0.766408,0.799479,1380,0.596308,0.815432,0.799479
1480,0.48673,0.709593,0.787109,1480,0.491717,0.718684,0.826172,1480,0.602794,0.823079,0.8125,1480,0.465465,0.692385,0.802734,1480,0.510478,0.7336,0.800781,1480,0.508374,0.733266,0.806641
1573,0.344221,0.571793,0.890625,1573,0.256738,0.488795,0.90625,1573,0.394446,0.619853,0.851563,1573,0.313724,0.54578,0.898438,1573,0.254575,0.482768,0.921875,1573,0.343209,0.57369,0.867188
1673,0.669277,0.902813,0.832031,1673,0.50567,0.742271,0.851563,1673,0.55676,0.787068,0.835938,1673,0.515307,0.752895,0.851563,1673,0.416425,0.649945,0.871094,1673,0.563953,0.800416,0.84375
1773,0.419691,0.659011,0.846354,1773,0.406676,0.648508,0.854167,1773,0.405645,0.641212,0.841146,1773,0.449329,0.692809,0.848958,1773,0.405144,0.644623,0.885417,1773,0.424407,0.666056,0.84375
1873,0.328488,0.573171,0.851563,1873,0.395892,0.643547,0.863281,1873,0.439047,0.679865,0.833984,1873,0.282615,0.531601,0.867188,1873,0.346168,0.591148,0.886719,1873,0.29949,0.546744,0.859375
1966,0.210119,0.460015,0.9375,1966,0.190875,0.443563,0.914063,1966,0.280006,0.526344,0.890625,1966,0.205697,0.459491,0.9375,1966,0.279119,0.529782,0.898438,1966,0.348857,0.60163,0.882813
2066,0.523209,0.778344,0.886719,2066,0.467905,0.725555,0.867188,2066,0.348909,0.601331,0.890625,2066,0.474093,0.73356,0.878906,2066,0.463564,0.719768,0.867188,2066,0.313245,0.571518,0.882813
2166,0.320271,0.580249,0.885417,2166,0.245438,0.508479,0.877604,2166,0.373892,0.630848,0.875,2166,0.275142,0.540103,0.885417,2166,0.322613,0.58399,0.880208,2166,0.339089,0.602552,0.885417
2266,0.293604,0.558396,0.886719,2266,0.328384,0.595417,0.880859,2266,0.245901,0.508257,0.886719,2266,0.196483,0.465999,0.900391,2266,0.221095,0.487414,0.894531,2266,0.20939,0.477596,0.894531
