step_org_150MR1bgr, cross_entropy_org_150MR1bgr, loss_org_150MR1bgr, train_accuracy_org_150MR1bgr,step_org_150MR1brg, cross_entropy_org_150MR1brg, loss_org_150MR1brg, train_accuracy_org_150MR1brg,step_org_150MR1gbr, cross_entropy_org_150MR1gbr, loss_org_150MR1gbr, train_accuracy_org_150MR1gbr,step_org_150MR1grb, cross_entropy_org_150MR1grb, loss_org_150MR1grb, train_accuracy_org_150MR1grb,step_org_150MR1rbg, cross_entropy_org_150MR1rbg, loss_org_150MR1rbg, train_accuracy_org_150MR1rbg,step_org_150MR1rgb, cross_entropy_org_150MR1rgb, loss_org_150MR1rgb, train_accuracy_org_150MR1rgb
2659,0.227216,0.526814,0.90625,2659,0.218249,0.520636,0.910156,2659,0.218804,0.518857,0.914063,2659,0.235232,0.531915,0.892578,2659,0.196372,0.495007,0.90625,2659,0.246154,0.548358,0.908203
2752,0.113886,0.416509,0.960938,2752,0.243276,0.548942,0.914063,2752,0.136484,0.439131,0.945313,2752,0.177639,0.477467,0.953125,2752,0.169107,0.471668,0.945313,2752,0.153693,0.459183,0.9375
2852,0.253355,0.55938,0.933594,2852,0.169836,0.478847,0.929688,2852,0.235189,0.539947,0.9375,2852,0.28417,0.58683,0.914063,2852,0.190172,0.495551,0.933594,2852,0.290099,0.598012,0.90625
2952,0.213592,0.522378,0.929688,2952,0.172936,0.483772,0.929688,2952,0.243388,0.55007,0.929688,2952,0.190471,0.496206,0.921875,2952,0.224034,0.531348,0.932292,2952,0.28832,0.598139,0.90625
3052,0.153386,0.462757,0.9375,3052,0.235913,0.548899,0.929688,3052,0.123884,0.434135,0.941406,3052,0.254979,0.563483,0.925781,3052,0.141032,0.451093,0.9375,3052,0.133092,0.44442,0.916016
3145,0.090684,0.40202,0.96875,3145,0.164285,0.480364,0.960938,3145,0.127887,0.439931,0.960938,3145,0.112361,0.423551,0.96875,3145,0.167743,0.480069,0.953125,3145,0.152975,0.465857,0.96875
3245,0.295339,0.609046,0.9375,3245,0.180703,0.499372,0.945313,3245,0.279237,0.592957,0.933594,3245,0.184901,0.496762,0.941406,3245,0.201091,0.514411,0.9375,3245,0.164704,0.480614,0.960938
3345,0.201732,0.516631,0.940104,3345,0.219413,0.540075,0.942708,3345,0.161876,0.476763,0.924479,3345,0.262066,0.576102,0.929688,3345,0.16362,0.478803,0.940104,3345,0.111787,0.429194,0.963542
3445,0.214734,0.530606,0.9375,3445,0.13122,0.453646,0.951172,3445,0.176765,0.492688,0.925781,3445,0.176166,0.491728,0.927734,3445,0.142039,0.458396,0.943359,3445,0.106528,0.42461,0.962891
3538,0.140795,0.457999,0.945313,3538,0.15707,0.48012,0.953125,3538,0.154795,0.471642,0.953125,3538,0.143733,0.460854,0.96875,3538,0.0552843,0.373298,0.992188,3538,0.173085,0.492901,0.960938
3638,0.249389,0.568478,0.917969,3638,0.158627,0.484776,0.941406,3638,0.134087,0.452243,0.957031,3638,0.219624,0.536804,0.957031,3638,0.256377,0.575284,0.953125,3638,0.173051,0.494499,0.941406
3738,0.122155,0.440227,0.927083,3738,0.116641,0.444968,0.945313,3738,0.138362,0.45586,0.953125,3738,0.179676,0.498711,0.953125,3738,0.214828,0.535474,0.940104,3738,0.1237,0.445291,0.945313
3838,0.168476,0.486372,0.927734,3838,0.22946,0.557913,0.935547,3838,0.0934503,0.41011,0.953125,3838,0.172631,0.491975,0.947266,3838,0.0804846,0.402138,0.947266,3838,0.180682,0.502018,0.947266
3931,0.215959,0.535319,0.929688,3931,0.120103,0.447986,0.960938,3931,0.109201,0.426516,0.96875,3931,0.138066,0.458244,0.953125,3931,0.130315,0.452284,0.921875,3931,0.07157,0.393011,0.960938
4031,0.0297749,0.348188,0.960938,4031,0.0471675,0.37408,0.972656,4031,0.0824818,0.398865,0.96875,4031,0.0383492,0.357616,0.972656,4031,0.0363514,0.357387,0.957031,4031,0.0431409,0.363607,0.976563
