step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1873,2.20163,2.20163,0.169922,1873,2.28874,2.28874,0.109375,1873,2.25434,2.25434,0.142578,1873,2.07892,2.07892,0.220703,1873,2.27306,2.27306,0.126953,1873,2.2786,2.2786,0.115234,1873,2.15765,2.15765,0.183594,1873,2.28655,2.28655,0.115234
1966,2.07758,2.07758,0.210938,1966,2.28821,2.28821,0.109375,1966,2.13994,2.13994,0.203125,1966,1.97617,1.97617,0.226563,1966,2.2649,2.2649,0.15625,1966,2.29406,2.29406,0.117188,1966,2.07242,2.07242,0.21875,1966,2.29326,2.29326,0.125
2066,2.02666,2.02666,0.238281,2066,2.29358,2.29358,0.117188,2066,2.09175,2.09175,0.230469,2066,1.9445,1.9445,0.265625,2066,2.22231,2.22231,0.167969,2066,2.27635,2.27635,0.148438,2066,1.99081,1.99081,0.25,2066,2.28561,2.28561,0.128906
2166,1.97798,1.97798,0.242188,2166,2.29319,2.29319,0.111979,2166,2.06786,2.06786,0.226563,2166,2.0099,2.0099,0.273438,2166,2.27466,2.27466,0.161458,2166,2.26535,2.26535,0.145833,2166,2.08975,2.08975,0.247396,2166,2.29027,2.29027,0.122396
2266,1.96377,1.96377,0.244141,2266,2.24518,2.24518,0.128906,2266,2.01908,2.01908,0.230469,2266,1.9312,1.9312,0.279297,2266,2.223,2.223,0.167969,2266,2.22969,2.22969,0.15625,2266,1.98542,1.98542,0.259766,2266,2.25914,2.25914,0.140625
2359,1.85969,1.85969,0.28125,2359,2.22971,2.22971,0.1875,2359,1.87421,1.87421,0.28125,2359,1.87518,1.87518,0.28125,2359,2.20737,2.20737,0.179688,2359,2.24369,2.24369,0.15625,2359,1.85867,1.85867,0.289063,2359,2.26091,2.26091,0.164063
2459,1.85895,1.85895,0.300781,2459,2.2024,2.2024,0.199219,2459,1.88537,1.88537,0.292969,2459,1.76987,1.76987,0.335938,2459,2.1294,2.1294,0.222656,2459,2.17385,2.17385,0.171875,2459,1.79332,1.79332,0.332031,2459,2.2214,2.2214,0.167969
2559,1.76353,1.76353,0.307292,2559,2.24038,2.24038,0.182292,2559,1.81727,1.81727,0.304688,2559,1.8615,1.8615,0.333333,2559,2.2329,2.2329,0.208333,2559,2.22975,2.22975,0.171875,2559,1.90118,1.90118,0.3125,2559,2.26282,2.26282,0.171875
2659,1.82641,1.82641,0.326172,2659,2.16573,2.16573,0.1875,2659,1.89003,1.89003,0.300781,2659,1.87345,1.87345,0.34375,2659,2.17934,2.17934,0.210938,2659,2.18202,2.18202,0.171875,2659,1.91319,1.91319,0.308594,2659,2.21056,2.21056,0.185547
2752,1.76843,1.76843,0.296875,2752,2.17408,2.17408,0.1875,2752,1.78439,1.78439,0.328125,2752,1.80529,1.80529,0.320313,2752,2.18041,2.18041,0.203125,2752,2.2091,2.2091,0.171875,2752,1.77845,1.77845,0.34375,2752,2.1886,2.1886,0.195313
2852,1.76202,1.76202,0.347656,2852,2.10193,2.10193,0.230469,2852,1.79792,1.79792,0.359375,2852,1.68289,1.68289,0.363281,2852,2.06765,2.06765,0.25,2852,2.07662,2.07662,0.234375,2852,1.68502,1.68502,0.382813,2852,2.15045,2.15045,0.199219
2952,1.64164,1.64164,0.346354,2952,2.14396,2.14396,0.226563,2952,1.68493,1.68493,0.369792,2952,1.74738,1.74738,0.367188,2952,2.16127,2.16127,0.231771,2952,2.18359,2.18359,0.21875,2952,1.78623,1.78623,0.361979,2952,2.16886,2.16886,0.192708
3052,1.81577,1.81577,0.353516,3052,2.05586,2.05586,0.230469,3052,1.70387,1.70387,0.361328,3052,1.78382,1.78382,0.371094,3052,2.09347,2.09347,0.240234,3052,2.05001,2.05001,0.214844,3052,1.82171,1.82171,0.351563,3052,2.067,2.067,0.201172
3145,1.66426,1.66426,0.359375,3145,1.94417,1.94417,0.273438,3145,1.72377,1.72377,0.375,3145,1.73681,1.73681,0.34375,3145,2.08322,2.08322,0.242188,3145,2.06484,2.06484,0.171875,3145,1.75225,1.75225,0.328125,3145,1.97975,1.97975,0.242188
3245,1.67623,1.67623,0.402344,3245,1.9414,1.9414,0.289063,3245,1.69314,1.69314,0.398438,3245,1.61205,1.61205,0.402344,3245,1.88039,1.88039,0.3125,3245,1.88037,1.88037,0.277344,3245,1.60176,1.60176,0.371094,3245,1.96832,1.96832,0.265625
3345,1.53649,1.53649,0.414063,3345,2.00378,2.00378,0.28125,3345,1.57002,1.57002,0.395833,3345,1.64744,1.64744,0.40625,3345,1.99268,1.99268,0.28125,3345,1.9943,1.9943,0.265625,3345,1.70752,1.70752,0.364583,3345,1.97757,1.97757,0.257813
3445,1.89489,1.89489,0.390625,3445,1.93358,1.93358,0.279297,3445,1.62944,1.62944,0.390625,3445,1.71953,1.71953,0.402344,3445,1.96483,1.96483,0.273438,3445,1.87943,1.87943,0.271484,3445,1.81017,1.81017,0.359375,3445,1.93446,1.93446,0.263672
3538,1.55739,1.55739,0.414063,3538,1.86415,1.86415,0.320313,3538,1.69593,1.69593,0.375,3538,1.68665,1.68665,0.367188,3538,2.01884,2.01884,0.257813,3538,1.97452,1.97452,0.21875,3538,1.59361,1.59361,0.40625,3538,1.87409,1.87409,0.328125
