step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1966,1.86141,2.14348,0.3125,1966,2.07043,2.35217,0.3125,1966,2.04473,2.32676,0.296875,1966,1.9876,2.26974,0.320313,1966,2.06538,2.34713,0.3125,1966,2.08648,2.36824,0.28125,1966,2.02108,2.30315,0.304688,1966,2.07654,2.35827,0.320313
2066,1.85773,2.13971,0.339844,2066,2.02879,2.31036,0.320313,2066,1.91758,2.19949,0.335938,2066,1.90445,2.18646,0.347656,2066,1.93889,2.22047,0.351563,2066,1.95587,2.23746,0.308594,2066,1.8837,2.16564,0.34375,2066,2.03783,2.31939,0.308594
2166,1.79206,2.07394,0.356771,2166,2.08301,2.3644,0.309896,2166,1.93752,2.2193,0.338542,2166,1.96084,2.24273,0.348958,2166,2.02253,2.30395,0.346354,2166,1.94484,2.22627,0.309896,2166,1.9965,2.27831,0.351563,2166,2.08645,2.36783,0.302083
2266,1.76808,2.04986,0.361328,2266,2.06512,2.34633,0.308594,2266,1.87919,2.16085,0.34375,2266,1.88092,2.16269,0.353516,2266,1.8889,2.17017,0.333984,2266,1.85817,2.13946,0.326172,2266,1.92417,2.20585,0.361328,2266,2.07011,2.35131,0.304688
2359,1.73863,2.02032,0.382813,2359,2.05862,2.33967,0.328125,2359,2.00569,2.28723,0.320313,2359,1.74485,2.02652,0.359375,2359,1.86644,2.14757,0.289063,2359,1.8731,2.15426,0.304688,2359,1.71298,1.99456,0.40625,2359,2.0669,2.34793,0.34375
2459,1.73824,2.01983,0.421875,2459,2.01444,2.29532,0.335938,2459,1.87326,2.15469,0.347656,2459,1.78145,2.06303,0.375,2459,1.84207,2.12306,0.339844,2459,1.85383,2.13485,0.335938,2459,1.70804,1.98955,0.410156,2459,2.03293,2.31379,0.324219
2559,1.74098,2.02248,0.416667,2559,2.06303,2.34375,0.330729,2559,1.89848,2.1798,0.348958,2559,1.77843,2.05992,0.382813,2559,1.83982,2.12068,0.351563,2559,1.83354,2.11441,0.333333,2559,1.69154,1.97296,0.401042,2559,2.06355,2.34425,0.317708
2659,1.69434,1.97572,0.421875,2659,2.0584,2.33894,0.324219,2659,1.7572,2.0384,0.357422,2659,1.72176,2.00314,0.392578,2659,1.79526,2.07597,0.363281,2659,1.79053,2.07126,0.359375,2659,1.65545,1.93678,0.427734,2659,1.97752,2.25806,0.333984
2752,1.62479,1.90609,0.421875,2752,2.06152,2.3419,0.351563,2752,1.77377,2.0549,0.382813,2752,1.66468,1.94597,0.429688,2752,1.8168,2.09738,0.375,2752,1.82986,2.11046,0.328125,2752,1.53415,1.81541,0.445313,2752,2.02979,2.31018,0.359375
2852,1.66433,1.94553,0.425781,2852,1.9994,2.27961,0.351563,2852,1.72295,2.00397,0.394531,2852,1.70934,1.99052,0.417969,2852,1.79924,2.07968,0.394531,2852,1.8279,2.10836,0.359375,2852,1.59425,1.87543,0.453125,2852,1.87682,2.15707,0.367188
2952,1.72554,2.00665,0.414063,2952,1.98802,2.2681,0.348958,2952,1.76762,2.04856,0.390625,2952,1.75333,2.03443,0.414063,2952,1.79013,2.07043,0.393229,2952,1.79763,2.07796,0.359375,2952,1.61418,1.89529,0.460938,2952,1.85503,2.13515,0.348958
