step_mut6_150MR1bgr, cross_entropy_mut6_150MR1bgr, loss_mut6_150MR1bgr, train_accuracy_mut6_150MR1bgr,step_mut6_150MR1brg, cross_entropy_mut6_150MR1brg, loss_mut6_150MR1brg, train_accuracy_mut6_150MR1brg,step_mut6_150MR1gbr, cross_entropy_mut6_150MR1gbr, loss_mut6_150MR1gbr, train_accuracy_mut6_150MR1gbr,step_mut6_150MR1grb, cross_entropy_mut6_150MR1grb, loss_mut6_150MR1grb, train_accuracy_mut6_150MR1grb,step_mut6_150MR1rbg, cross_entropy_mut6_150MR1rbg, loss_mut6_150MR1rbg, train_accuracy_mut6_150MR1rbg,step_mut6_150MR1rgb, cross_entropy_mut6_150MR1rgb, loss_mut6_150MR1rgb, train_accuracy_mut6_150MR1rgb
1,2.65709,2.86916,0.0703125,1,2.66021,2.87229,0.0703125,1,2.66002,2.8721,0.0703125,1,2.65822,2.8703,0.0703125,1,2.65895,2.87103,0.0703125,1,2.65809,2.87017,0.0703125
101,1.64743,1.86017,0.199219,101,1.74084,1.95358,0.199219,101,1.75767,1.97061,0.175781,101,1.74055,1.95328,0.1875,101,1.64181,1.85501,0.214844,101,1.66496,1.878,0.210938
201,1.40305,1.61552,0.286458,201,1.37333,1.58474,0.291667,201,1.3636,1.57572,0.28125,201,1.37403,1.58661,0.289063,201,1.35272,1.5666,0.299479,201,1.33871,1.55111,0.3125
301,1.0981,1.31206,0.378906,301,1.20917,1.42126,0.367188,301,1.20452,1.41792,0.349609,301,1.23892,1.45234,0.359375,301,1.15184,1.36744,0.369141,301,1.28931,1.50265,0.369141
394,0.882969,1.09887,0.6875,394,1.02775,1.24124,0.640625,394,0.954487,1.16949,0.640625,394,1.06959,1.28459,0.664063,394,1.01761,1.23497,0.65625,394,1.014,1.22834,0.625
494,1.04762,1.26516,0.636719,494,1.16295,1.37794,0.589844,494,1.09484,1.31195,0.621094,494,1.01001,1.22744,0.667969,494,1.1079,1.32718,0.625,494,1.10627,1.32209,0.601563
594,0.960715,1.18037,0.622396,594,0.896048,1.11318,0.609375,594,1.01521,1.23484,0.614583,594,1.0016,1.22146,0.658854,594,0.945451,1.16726,0.630208,594,0.959676,1.17751,0.614583
694,0.815786,1.03839,0.640625,694,0.887442,1.10702,0.632813,694,0.884661,1.1074,0.634766,694,0.952956,1.17604,0.646484,694,0.98863,1.21322,0.634766,694,0.943542,1.1637,0.632813
787,0.594962,0.820827,0.804688,787,0.675402,0.897744,0.75,787,0.593543,0.819597,0.765625,787,0.538283,0.764245,0.8125,787,0.665051,0.892398,0.773438,787,0.604942,0.827824,0.828125
887,0.762523,0.991954,0.746094,887,0.92137,1.14708,0.695313,887,0.749488,0.979483,0.730469,887,0.799807,1.02944,0.746094,887,0.874309,1.10501,0.722656,887,0.845073,1.07135,0.746094
987,0.671156,0.904651,0.744792,987,0.658884,0.888236,0.723958,987,0.827271,1.06151,0.716146,987,0.739506,0.972971,0.747396,987,0.722077,0.957017,0.716146,987,0.734356,0.964154,0.742188
1087,0.647388,0.885389,0.746094,1087,0.641759,0.875376,0.740234,1087,0.576192,0.81475,0.730469,1087,0.573461,0.811593,0.765625,1087,0.56235,0.801951,0.744141,1087,0.666169,0.900391,0.746094
1180,0.440589,0.683026,0.875,1180,0.4512,0.689638,0.820313,1180,0.384646,0.62806,0.867188,1180,0.319527,0.56201,0.890625,1180,0.447675,0.691861,0.820313,1180,0.442925,0.681803,0.835938
1280,0.571612,0.818989,0.824219,1280,0.606053,0.849595,0.796875,1280,0.644008,0.892185,0.820313,1280,0.645267,0.892724,0.816406,1280,0.645034,0.894085,0.796875,1280,0.603755,0.847688,0.808594
1380,0.418394,0.670584,0.833333,1380,0.502769,0.751318,0.794271,1380,0.547526,0.800658,0.822917,1380,0.566843,0.819369,0.815104,1380,0.60793,0.862274,0.789063,1380,0.522897,0.772093,0.804688
1480,0.4435,0.701196,0.839844,1480,0.348114,0.601888,0.814453,1480,0.425199,0.683835,0.830078,1480,0.381682,0.639075,0.818359,1480,0.48783,0.74829,0.798828,1480,0.536725,0.791232,0.804688
1573,0.354654,0.617464,0.867188,1573,0.272572,0.531943,0.914063,1573,0.333607,0.597856,0.882813,1573,0.273519,0.536045,0.90625,1573,0.298608,0.563762,0.921875,1573,0.337788,0.597766,0.875
1673,0.350199,0.618316,0.847656,1673,0.452651,0.717663,0.867188,1673,0.420901,0.690554,0.863281,1673,0.455493,0.722666,0.867188,1673,0.416258,0.687163,0.886719,1673,0.391917,0.65695,0.863281
1773,0.374426,0.647153,0.84375,1773,0.41219,0.682779,0.856771,1773,0.361874,0.636042,0.867188,1773,0.324873,0.597313,0.882813,1773,0.305017,0.581122,0.880208,1773,0.393692,0.663739,0.875
1873,0.242591,0.519869,0.855469,1873,0.380546,0.656545,0.859375,1873,0.306974,0.585289,0.873047,1873,0.294499,0.571837,0.890625,1873,0.329998,0.611235,0.878906,1873,0.389676,0.664549,0.878906
1966,0.2771,0.559475,0.914063,1966,0.229911,0.511206,0.90625,1966,0.307202,0.590523,0.898438,1966,0.181712,0.462981,0.9375,1966,0.314433,0.599714,0.882813,1966,0.216192,0.495833,0.945313
2066,0.265061,0.552693,0.917969,2066,0.334266,0.620484,0.890625,2066,0.297747,0.586005,0.898438,2066,0.374675,0.660084,0.898438,2066,0.359689,0.649992,0.871094,2066,0.321175,0.60618,0.917969
2166,0.412126,0.70356,0.903646,2166,0.271927,0.562401,0.888021,2166,0.286111,0.578887,0.901042,2166,0.227405,0.516975,0.90625,2166,0.236471,0.530028,0.888021,2166,0.242953,0.532355,0.921875
2266,0.294069,0.589856,0.900391,2266,0.198277,0.492246,0.900391,2266,0.244104,0.541011,0.904297,2266,0.196049,0.489567,0.916016,2266,0.331396,0.629504,0.888672,2266,0.299945,0.593763,0.917969
2359,0.249478,0.549673,0.921875,2359,0.163758,0.460801,0.929688,2359,0.122962,0.423104,0.9375,2359,0.0864164,0.383136,0.96875,2359,0.210122,0.511756,0.921875,2359,0.163963,0.460698,0.9375
2459,0.354085,0.658161,0.898438,2459,0.31495,0.615257,0.898438,2459,0.220512,0.524485,0.921875,2459,0.230909,0.53112,0.941406,2459,0.281221,0.58604,0.898438,2459,0.34484,0.64588,0.90625
2559,0.238849,0.54655,0.903646,2559,0.135523,0.439397,0.919271,2559,0.215066,0.521638,0.929688,2559,0.202847,0.505336,0.9375,2559,0.277195,0.585106,0.908854,2559,0.153358,0.457918,0.929688
2659,0.185155,0.495077,0.916016,2659,0.208664,0.51401,0.919922,2659,0.158149,0.467489,0.933594,2659,0.137942,0.443048,0.939453,2659,0.335188,0.647155,0.908203,2659,0.203928,0.510973,0.929688
2752,0.232932,0.545506,0.9375,2752,0.0835715,0.39121,0.984375,2752,0.187258,0.497265,0.929688,2752,0.120813,0.428478,0.96875,2752,0.146338,0.459819,0.945313,2752,0.178468,0.488403,0.945313
2852,0.179514,0.494027,0.941406,2852,0.2962,0.606918,0.945313,2852,0.186481,0.498068,0.925781,2852,0.226664,0.536574,0.929688,2852,0.234143,0.549739,0.941406,2852,0.176487,0.487858,0.953125
2952,0.0808335,0.397048,0.953125,2952,0.161925,0.474716,0.934896,2952,0.161618,0.475656,0.934896,2952,0.132268,0.444303,0.9375,2952,0.218606,0.536835,0.940104,2952,0.130883,0.444487,0.950521
3052,0.113275,0.432042,0.958984,3052,0.137162,0.451733,0.939453,3052,0.133137,0.447262,0.9375,3052,0.108248,0.421253,0.943359,3052,0.217988,0.538275,0.9375,3052,0.216204,0.530837,0.943359
3145,0.1271,0.447633,0.945313,3145,0.124095,0.439355,0.9375,3145,0.205595,0.521054,0.9375,3145,0.0939776,0.408021,0.96875,3145,0.0876789,0.407894,0.96875,3145,0.0962827,0.412075,0.96875
3245,0.140116,0.461788,0.953125,3245,0.248413,0.564101,0.910156,3245,0.279214,0.597261,0.917969,3245,0.162763,0.477284,0.949219,3245,0.219041,0.539902,0.953125,3245,0.187516,0.503826,0.953125
3345,0.093711,0.415836,0.960938,3345,0.0748803,0.391597,0.9375,3345,0.133572,0.452975,0.924479,3345,0.194584,0.508207,0.947917,3345,0.13084,0.450784,0.955729,3345,0.159737,0.477471,0.950521
3445,0.150672,0.472874,0.958984,3445,0.191352,0.508871,0.9375,3445,0.120154,0.437891,0.931641,3445,0.134954,0.448256,0.945313,3445,0.113303,0.434001,0.955078,3445,0.0749294,0.392856,0.955078
3538,0.158086,0.479362,0.953125,3538,0.118214,0.435736,0.953125,3538,0.143631,0.462705,0.960938,3538,0.0976567,0.41151,0.953125,3538,0.120698,0.442599,0.96875,3538,0.0781056,0.395148,0.976563
3638,0.213793,0.535839,0.945313,3638,0.12121,0.438792,0.953125,3638,0.13535,0.454329,0.953125,3638,0.175122,0.491239,0.9375,3638,0.146307,0.467976,0.953125,3638,0.170906,0.48916,0.960938
3738,0.0816463,0.403531,0.958333,3738,0.247748,0.56567,0.953125,3738,0.141607,0.45971,0.955729,3738,0.116659,0.432499,0.9375,3738,0.0688613,0.390483,0.963542,3738,0.0852725,0.402344,0.963542
3838,0.0612804,0.380898,0.964844,3838,0.146116,0.463081,0.951172,3838,0.106975,0.425545,0.958984,3838,0.0883222,0.403623,0.945313,3838,0.157043,0.478509,0.951172,3838,0.10224,0.417739,0.962891
3931,0.0616578,0.380689,0.984375,3931,0.0693242,0.38517,0.96875,3931,0.0812832,0.400162,0.96875,3931,0.0796099,0.392942,0.96875,3931,0.0747104,0.395774,0.976563,3931,0.0885738,0.40574,0.976563
4031,0.0197591,0.337809,0.992188,4031,0.0236327,0.338489,0.984375,4031,0.0333162,0.351222,0.980469,4031,0.0367955,0.349158,0.980469,4031,0.0296856,0.349746,0.988281,4031,0.0265098,0.342773,0.988281
4131,0.0140697,0.330995,0.994792,4131,0.0222186,0.335958,0.986979,4131,0.0147044,0.331493,0.984375,4131,0.025748,0.337,0.984375,4131,0.0252897,0.344219,0.989583,4131,0.0176345,0.332824,0.992188
4231,0.00720627,0.322982,0.996094,4231,0.00933204,0.321926,0.990234,4231,0.00454256,0.320186,0.988281,4231,0.00427273,0.314392,0.988281,4231,0.00966267,0.327432,0.992188,4231,0.0117953,0.325875,0.994141
4324,0.00489415,0.319579,1.0,4324,0.00561447,0.317128,1.0,4324,0.0107545,0.325313,1.0,4324,0.00482972,0.313877,1.0,4324,0.0103395,0.327017,1.0,4324,0.0140642,0.327086,0.992188
4424,0.00630417,0.319827,1.0,4424,0.00935857,0.319721,1.0,4424,0.0108844,0.324288,1.0,4424,0.0111014,0.319004,1.0,4424,0.0144566,0.329966,1.0,4424,0.0114465,0.323334,0.996094
4524,0.00661892,0.318977,1.0,4524,0.00922475,0.318433,1.0,4524,0.00661586,0.318866,1.0,4524,0.00940568,0.316163,0.997396,4524,0.00566467,0.320007,1.0,4524,0.00697163,0.317723,0.997396
4624,0.00330998,0.314498,1.0,4624,0.00467635,0.312722,1.0,4624,0.00238049,0.313464,1.0,4624,0.00207414,0.307679,0.998047,4624,0.00552851,0.318694,1.0,4624,0.00500532,0.314612,0.998047
4717,0.00301526,0.313105,1.0,4717,0.00396449,0.310923,1.0,4717,0.00642359,0.316415,1.0,4717,0.00346642,0.307992,1.0,4717,0.00568951,0.317756,1.0,4717,0.00695007,0.31548,1.0
4817,0.00429161,0.313215,1.0,4817,0.0064676,0.312272,1.0,4817,0.00574525,0.314577,1.0,4817,0.00637294,0.30975,1.0,4817,0.00966113,0.320555,1.0,4817,0.00749121,0.314875,1.0
4917,0.00471368,0.31247,1.0,4917,0.00650686,0.311156,1.0,4917,0.0044223,0.312095,1.0,4917,0.00302891,0.305259,1.0,4917,0.00407078,0.313795,1.0,4917,0.00489434,0.311132,1.0
5017,0.00233468,0.308924,1.0,5017,0.00314787,0.306639,1.0,5017,0.00171358,0.308221,1.0,5017,0.00160417,0.302686,1.0,5017,0.0040262,0.312577,1.0,5017,0.00326425,0.308353,1.0
5110,0.00242282,0.307919,1.0,5110,0.00319507,0.305605,1.0,5110,0.00448071,0.309901,1.0,5110,0.00281034,0.302819,1.0,5110,0.00416586,0.311622,1.0,5110,0.00470169,0.308715,1.0
5210,0.0033105,0.307647,1.0,5210,0.00491681,0.306179,1.0,5210,0.00407517,0.308341,1.0,5210,0.00477,0.303636,1.0,5210,0.00701624,0.313306,1.0,5210,0.00546199,0.308331,1.0
5310,0.00383086,0.307008,1.0,5310,0.00506426,0.305179,1.0,5310,0.00341758,0.30653,1.0,5310,0.00218474,0.299912,1.0,5310,0.00324389,0.308371,1.0,5310,0.00375329,0.305479,1.0
5410,0.00184501,0.303864,1.0,5410,0.00243676,0.301403,1.0,5410,0.00139262,0.303348,1.0,5410,0.00135626,0.297944,1.0,5410,0.00319806,0.30716,1.0,5410,0.00252253,0.303105,1.0
5503,0.00206719,0.303004,1.0,5503,0.00273335,0.300629,1.0,5503,0.00350984,0.304388,1.0,5503,0.00244717,0.297972,1.0,5503,0.00334806,0.306226,1.0,5503,0.00374552,0.30326,1.0
5603,0.00274317,0.30253,1.0,5603,0.00403827,0.300797,1.0,5603,0.00326426,0.302997,1.0,5603,0.00391995,0.298314,1.0,5603,0.00560742,0.307329,1.0,5603,0.00431859,0.302697,1.0
5703,0.00330583,0.301945,1.0,5703,0.00421612,0.299839,1.0,5703,0.00284085,0.301431,1.0,5703,0.00181679,0.295083,1.0,5703,0.00274736,0.303317,1.0,5703,0.00300476,0.300249,1.0
5803,0.00156156,0.299054,1.0,5803,0.00204328,0.29653,1.0,5803,0.00119483,0.29864,1.0,5803,0.00118909,0.293328,1.0,5803,0.00267092,0.302088,1.0,5803,0.00208695,0.298197,1.0
