step, cross_entropy, loss, train_accuracy
1,2.5516,2.76378,0.09375
41,2.33684,2.54695,0.0625
81,2.29753,2.5045,0.0625
121,2.31398,2.51829,0.078125
161,2.15733,2.35868,0.132813
