step_mut6_5MR1bgr, cross_entropy_mut6_5MR1bgr, loss_mut6_5MR1bgr, train_accuracy_mut6_5MR1bgr,step_mut6_5MR1brg, cross_entropy_mut6_5MR1brg, loss_mut6_5MR1brg, train_accuracy_mut6_5MR1brg,step_mut6_5MR1gbr, cross_entropy_mut6_5MR1gbr, loss_mut6_5MR1gbr, train_accuracy_mut6_5MR1gbr,step_mut6_5MR1grb, cross_entropy_mut6_5MR1grb, loss_mut6_5MR1grb, train_accuracy_mut6_5MR1grb,step_mut6_5MR1rbg, cross_entropy_mut6_5MR1rbg, loss_mut6_5MR1rbg, train_accuracy_mut6_5MR1rbg,step_mut6_5MR1rgb, cross_entropy_mut6_5MR1rgb, loss_mut6_5MR1rgb, train_accuracy_mut6_5MR1rgb
1,2.65709,2.86916,0.0703125,1,2.66021,2.87229,0.0703125,1,2.66002,2.8721,0.0703125,1,2.65822,2.8703,0.0703125,1,2.65895,2.87103,0.0703125,1,2.65809,2.87017,0.0703125
41,1.70945,1.92318,0.390625,41,1.72348,1.93728,0.34375,41,1.6841,1.89772,0.375,41,1.76067,1.9743,0.382813,41,1.79785,2.01155,0.304688,41,1.67537,1.88909,0.367188
81,1.61085,1.82392,0.414063,81,1.64513,1.8583,0.421875,81,1.62656,1.83987,0.414063,81,1.65878,1.87168,0.351563,81,1.6319,1.84531,0.398438,81,1.64502,1.85865,0.414063
121,1.54345,1.7558,0.375,121,1.49806,1.7102,0.492188,121,1.51832,1.731,0.4375,121,1.58082,1.79365,0.429688,121,1.49793,1.711,0.484375,121,1.52501,1.73812,0.445313
161,1.45915,1.67155,0.445313,161,1.45193,1.66404,0.445313,161,1.32703,1.53989,0.507813,161,1.42457,1.63746,0.46875,161,1.4142,1.62756,0.453125,161,1.39009,1.60317,0.53125
