step, cross_entropy, loss, train_accuracy
1,2.65809,2.87017,0.0703125
41,1.67537,1.88909,0.367188
81,1.64502,1.85865,0.414063
121,1.52501,1.73812,0.445313
161,1.39009,1.60317,0.53125
