step_mut9_5MR1bgr, cross_entropy_mut9_5MR1bgr, loss_mut9_5MR1bgr, train_accuracy_mut9_5MR1bgr,step_mut9_5MR1brg, cross_entropy_mut9_5MR1brg, loss_mut9_5MR1brg, train_accuracy_mut9_5MR1brg,step_mut9_5MR1gbr, cross_entropy_mut9_5MR1gbr, loss_mut9_5MR1gbr, train_accuracy_mut9_5MR1gbr,step_mut9_5MR1grb, cross_entropy_mut9_5MR1grb, loss_mut9_5MR1grb, train_accuracy_mut9_5MR1grb,step_mut9_5MR1rbg, cross_entropy_mut9_5MR1rbg, loss_mut9_5MR1rbg, train_accuracy_mut9_5MR1rbg,step_mut9_5MR1rgb, cross_entropy_mut9_5MR1rgb, loss_mut9_5MR1rgb, train_accuracy_mut9_5MR1rgb
1,2.49155,2.70362,0.109375,1,2.50613,2.71821,0.109375,1,2.50385,2.71592,0.109375,1,2.54445,2.75653,0.109375,1,2.516,2.72808,0.109375,1,2.53243,2.74451,0.109375
25,1.98992,2.20295,0.21875,25,2.05358,2.26691,0.242188,25,1.96056,2.17384,0.25,25,1.98147,2.19468,0.265625,25,1.91781,2.13088,0.257813,25,1.85786,2.0713,0.328125
49,1.814,2.02748,0.328125,49,1.82589,2.03991,0.34375,49,1.80101,2.0149,0.335938,49,1.75868,1.97258,0.367188,49,1.89453,2.1081,0.28125,49,1.79982,2.01384,0.367188
73,1.78114,1.99442,0.382813,73,1.78476,1.99853,0.367188,73,1.74006,1.95352,0.367188,73,1.69136,1.90546,0.390625,73,1.7338,1.94697,0.421875,73,1.71416,1.92779,0.40625
97,1.6693,1.88219,0.429688,97,1.65065,1.86389,0.398438,97,1.57158,1.78453,0.429688,97,1.62669,1.84102,0.390625,97,1.61257,1.82534,0.445313,97,1.69818,1.9114,0.398438
