step_mut45_5MR1bgr, cross_entropy_mut45_5MR1bgr, loss_mut45_5MR1bgr, train_accuracy_mut45_5MR1bgr,step_mut45_5MR1brg, cross_entropy_mut45_5MR1brg, loss_mut45_5MR1brg, train_accuracy_mut45_5MR1brg,step_mut45_5MR1gbr, cross_entropy_mut45_5MR1gbr, loss_mut45_5MR1gbr, train_accuracy_mut45_5MR1gbr,step_mut45_5MR1grb, cross_entropy_mut45_5MR1grb, loss_mut45_5MR1grb, train_accuracy_mut45_5MR1grb,step_mut45_5MR1rbg, cross_entropy_mut45_5MR1rbg, loss_mut45_5MR1rbg, train_accuracy_mut45_5MR1rbg,step_mut45_5MR1rgb, cross_entropy_mut45_5MR1rgb, loss_mut45_5MR1rgb, train_accuracy_mut45_5MR1rgb
1,2.66586,2.87793,0.0703125,1,2.6708,2.88288,0.0703125,1,2.6737,2.88577,0.0703125,1,2.65779,2.86986,0.0703125,1,2.65421,2.86629,0.0703125,1,2.64588,2.85796,0.0703125
41,1.7244,1.93751,0.390625,41,1.78381,1.99728,0.351563,41,1.77578,1.98933,0.289063,41,1.71032,1.9239,0.367188,41,1.86456,2.07832,0.34375,41,1.74493,1.95825,0.34375
81,1.68763,1.90041,0.390625,81,1.64169,1.85508,0.382813,81,1.63527,1.84856,0.359375,81,1.58113,1.79427,0.359375,81,1.74169,1.95457,0.359375,81,1.53724,1.75011,0.453125
121,1.55547,1.76742,0.414063,121,1.51403,1.7268,0.421875,121,1.51953,1.73213,0.398438,121,1.37758,1.59089,0.515625,121,1.59831,1.80997,0.398438,121,1.45168,1.66399,0.492188
161,1.48429,1.69566,0.429688,161,1.34392,1.55667,0.492188,161,1.40018,1.61269,0.453125,161,1.32845,1.54221,0.507813,161,1.4689,1.68009,0.484375,161,1.32803,1.54016,0.507813
