step_mut48_150MR1bgr, cross_entropy_mut48_150MR1bgr, loss_mut48_150MR1bgr, train_accuracy_mut48_150MR1bgr,step_mut48_150MR1brg, cross_entropy_mut48_150MR1brg, loss_mut48_150MR1brg, train_accuracy_mut48_150MR1brg,step_mut48_150MR1gbr, cross_entropy_mut48_150MR1gbr, loss_mut48_150MR1gbr, train_accuracy_mut48_150MR1gbr,step_mut48_150MR1grb, cross_entropy_mut48_150MR1grb, loss_mut48_150MR1grb, train_accuracy_mut48_150MR1grb,step_mut48_150MR1rbg, cross_entropy_mut48_150MR1rbg, loss_mut48_150MR1rbg, train_accuracy_mut48_150MR1rbg,step_mut48_150MR1rgb, cross_entropy_mut48_150MR1rgb, loss_mut48_150MR1rgb, train_accuracy_mut48_150MR1rgb
1,2.68847,2.90054,0.0703125,1,2.69147,2.90354,0.0703125,1,2.69387,2.90595,0.0703125,1,2.67033,2.8824,0.0703125,1,2.6807,2.89278,0.0703125,1,2.66497,2.87705,0.0703125
101,1.72785,1.94019,0.214844,101,1.69126,1.90442,0.1875,101,1.71022,1.92312,0.226563,101,1.76629,1.97906,0.195313,101,1.77134,1.98395,0.203125,101,1.7985,2.01092,0.175781
201,1.37879,1.59019,0.309896,201,1.42212,1.63366,0.273438,201,1.41055,1.62147,0.317708,201,1.39892,1.61034,0.291667,201,1.41727,1.62685,0.294271,201,1.31905,1.53146,0.278646
301,1.21984,1.43193,0.378906,301,1.20996,1.42149,0.347656,301,1.19115,1.40205,0.376953,301,1.2517,1.46335,0.349609,301,1.34576,1.55465,0.341797,301,1.28756,1.50055,0.34375
394,1.08573,1.29875,0.617188,394,1.16954,1.38202,0.570313,394,1.0454,1.25714,0.601563,394,1.12958,1.34169,0.59375,394,1.17523,1.38439,0.515625,394,1.06091,1.27466,0.632813
494,1.0812,1.29588,0.589844,494,1.15554,1.36972,0.585938,494,1.1976,1.41075,0.589844,494,1.13164,1.34476,0.566406,494,1.174,1.38414,0.539063,494,1.11487,1.33005,0.585938
594,0.956611,1.17355,0.604167,594,0.975749,1.1917,0.596354,594,1.06614,1.2811,0.588542,594,1.0274,1.24178,0.588542,594,1.03682,1.24921,0.559896,594,1.0092,1.22642,0.598958
694,0.950426,1.16955,0.625,694,0.900714,1.11883,0.615234,694,1.12476,1.34182,0.587891,694,0.935004,1.15114,0.603516,694,0.963214,1.17856,0.591797,694,0.952079,1.17099,0.613281
787,0.634163,0.856007,0.765625,787,0.63243,0.852777,0.78125,787,0.716452,0.935425,0.75,787,0.692932,0.911391,0.734375,787,0.765338,0.982891,0.710938,787,0.619037,0.839469,0.75
887,0.983409,1.20833,0.707031,887,0.856962,1.07978,0.726563,887,0.816757,1.03856,0.730469,887,0.951779,1.17292,0.695313,887,0.910206,1.13066,0.671875,887,0.882981,1.10584,0.699219
987,0.701663,0.929451,0.710938,987,0.817314,1.04308,0.713542,987,0.830262,1.05502,0.700521,987,0.813815,1.03795,0.700521,987,0.793588,1.0174,0.679688,987,0.681509,0.906978,0.708333
1087,0.637491,0.868777,0.730469,1087,0.713857,0.942923,0.728516,1087,0.786092,1.01436,0.705078,1087,0.716953,0.944528,0.716797,1087,0.732803,0.960212,0.699219,1087,0.736352,0.965283,0.716797
1180,0.424848,0.659969,0.84375,1180,0.490843,0.723627,0.789063,1180,0.465776,0.697305,0.820313,1180,0.489564,0.720559,0.84375,1180,0.489875,0.721263,0.851563,1180,0.481361,0.713734,0.828125
1280,0.728958,0.968205,0.785156,1280,0.728553,0.96497,0.757813,1280,0.678549,0.914277,0.78125,1280,0.625676,0.860572,0.785156,1280,0.610466,0.846172,0.808594,1280,0.630076,0.866244,0.800781
1380,0.505845,0.749469,0.799479,1380,0.587255,0.828163,0.768229,1380,0.614288,0.854541,0.778646,1380,0.553184,0.792641,0.794271,1380,0.625111,0.865119,0.802083,1380,0.415266,0.655352,0.822917
1480,0.529655,0.77785,0.804688,1480,0.508426,0.754258,0.785156,1480,0.489014,0.733786,0.792969,1480,0.576383,0.820493,0.792969,1480,0.483363,0.727956,0.8125,1480,0.659319,0.904023,0.8125
1573,0.376867,0.62962,0.84375,1573,0.350345,0.600935,0.882813,1573,0.287086,0.536031,0.890625,1573,0.341166,0.589644,0.875,1573,0.332859,0.581687,0.851563,1573,0.318032,0.567086,0.898438
1673,0.484256,0.741138,0.820313,1673,0.501779,0.756637,0.824219,1673,0.465986,0.719964,0.847656,1673,0.594788,0.848045,0.824219,1673,0.483436,0.737198,0.84375,1673,0.406595,0.660051,0.875
1773,0.431903,0.694279,0.815104,1773,0.589299,0.849289,0.8125,1773,0.433894,0.692764,0.84375,1773,0.427137,0.685875,0.822917,1773,0.569605,0.828,0.838542,1773,0.370683,0.628443,0.880208
1873,0.363136,0.630179,0.830078,1873,0.378302,0.642886,0.826172,1873,0.313462,0.577214,0.859375,1873,0.374083,0.637719,0.835938,1873,0.486796,0.750226,0.845703,1873,0.476005,0.738774,0.869141
1966,0.219623,0.490545,0.921875,1966,0.280922,0.550221,0.914063,1966,0.21678,0.486219,0.921875,1966,0.222067,0.490002,0.914063,1966,0.267955,0.536161,0.898438,1966,0.224746,0.491842,0.929688
2066,0.50363,0.779677,0.859375,2066,0.458774,0.732786,0.882813,2066,0.396094,0.669843,0.898438,2066,0.465636,0.737945,0.855469,2066,0.342314,0.615308,0.890625,2066,0.493212,0.765304,0.878906
2166,0.34664,0.627494,0.861979,2166,0.377395,0.656259,0.877604,2166,0.417419,0.695612,0.880208,2166,0.445676,0.722687,0.841146,2166,0.380842,0.658219,0.882813,2166,0.273842,0.550285,0.885417
2266,0.238832,0.523129,0.875,2266,0.39861,0.681683,0.878906,2266,0.352933,0.636124,0.880859,2266,0.217636,0.499339,0.865234,2266,0.289617,0.570832,0.878906,2266,0.350558,0.631168,0.884766
2359,0.14729,0.43638,0.945313,2359,0.229127,0.516573,0.921875,2359,0.206888,0.49447,0.90625,2359,0.144266,0.430341,0.945313,2359,0.224989,0.511064,0.90625,2359,0.214584,0.499299,0.921875
