step_org_150MR1bgr, cross_entropy_org_150MR1bgr, loss_org_150MR1bgr, train_accuracy_org_150MR1bgr,step_org_150MR1brg, cross_entropy_org_150MR1brg, loss_org_150MR1brg, train_accuracy_org_150MR1brg,step_org_150MR1grb, cross_entropy_org_150MR1grb, loss_org_150MR1grb, train_accuracy_org_150MR1grb,step_org_150MR1gbr, cross_entropy_org_150MR1gbr, loss_org_150MR1gbr, train_accuracy_org_150MR1gbr,step_org_150MR1rbg, cross_entropy_org_150MR1rbg, loss_org_150MR1rbg, train_accuracy_org_150MR1rbg,step_org_150MR1rgb, cross_entropy_org_150MR1rgb, loss_org_150MR1rgb, train_accuracy_org_150MR1rgb
2259,0.00724193,0.228031,0.997396,2259,0.00896045,0.22912,1.0,2259,0.0074118,0.227058,1.0,2259,0.00756762,0.228216,1.0,2259,0.00800305,0.228957,1.0,2259,0.00753503,0.227324,1.0
2359,0.00689488,0.22696,0.998047,2359,0.00875403,0.228199,1.0,2359,0.0107183,0.229689,1.0,2359,0.00987278,0.229803,1.0,2359,0.00865769,0.228931,1.0,2359,0.00789407,0.226982,1.0
2402,0.0103255,0.230083,1.0,2402,0.00513919,0.22429,1.0,2402,0.00329061,0.22196,1.0,2402,0.006625,0.226265,1.0,2402,0.00560571,0.22557,1.0,2402,0.00565319,0.224434,1.0
2502,0.00589938,0.224931,1.0,2502,0.00551526,0.223935,1.0,2502,0.00859537,0.226524,1.0,2502,0.0195997,0.238519,0.996094,2502,0.0119498,0.231204,0.996094,2502,0.00388718,0.221925,1.0
2602,0.00411379,0.22242,1.0,2602,0.00422537,0.221884,1.0,2602,0.0101107,0.227287,1.0,2602,0.00480691,0.222978,0.997396,2602,0.00393335,0.222445,0.997396,2602,0.0031493,0.220428,1.0
2702,0.00452031,0.222072,1.0,2702,0.00376674,0.220661,1.0,2702,0.00492514,0.221347,1.0,2702,0.00657288,0.223992,0.998047,2702,0.00388261,0.22165,0.998047,2702,0.00327069,0.219779,1.0
2745,0.00300942,0.22023,1.0,2745,0.00286289,0.219423,1.0,2745,0.00239523,0.218486,1.0,2745,0.00780817,0.224967,1.0,2745,0.00341174,0.22085,1.0,2745,0.00285211,0.219029,1.0
2845,0.00362786,0.220075,1.0,2845,0.00326048,0.219042,1.0,2845,0.00448025,0.219797,1.0,2845,0.00867682,0.225193,1.0,2845,0.00433072,0.220995,1.0,2845,0.00295996,0.218365,1.0
2945,0.00294334,0.218621,1.0,2945,0.00332396,0.218328,1.0,2945,0.00265142,0.217195,1.0,2945,0.00403728,0.21984,1.0,2945,0.00215092,0.21804,1.0,2945,0.00260021,0.217228,1.0
3045,0.00362948,0.218531,1.0,3045,0.00267155,0.216897,1.0,3045,0.00307915,0.216847,1.0,3045,0.00383727,0.218884,1.0,3045,0.00304749,0.218156,1.0,3045,0.00277112,0.216622,1.0
3088,0.00253362,0.2171,1.0,3088,0.00250547,0.216394,1.0,3088,0.00199859,0.215431,1.0,3088,0.00369551,0.218424,1.0,3088,0.00272756,0.2175,1.0,3088,0.00214928,0.215664,1.0
3188,0.00276769,0.216554,1.0,3188,0.00275624,0.215864,1.0,3188,0.00355821,0.216214,1.0,3188,0.00316992,0.217124,1.0,3188,0.00319986,0.21719,1.0,3188,0.00254639,0.215284,1.0
3288,0.00230922,0.215314,1.0,3288,0.0027283,0.215059,1.0,3288,0.0023181,0.2142,1.0,3288,0.00284475,0.216022,1.0,3288,0.00187997,0.215091,1.0,3288,0.00226196,0.214222,1.0
