step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1966,0.229745,0.229746,0.921875,1966,0.204168,0.204168,0.929688,1966,0.407231,0.407231,0.867188,1966,0.469018,0.469018,0.789063,1966,0.201994,0.201994,0.929688,1966,0.410424,0.410424,0.84375,1966,0.229946,0.229946,0.9375,1966,0.514636,0.514636,0.8125
2066,0.382081,0.382081,0.886719,2066,0.308779,0.308779,0.90625,2066,0.451107,0.451107,0.855469,2066,0.452422,0.452422,0.804688,2066,0.391026,0.391027,0.898438,2066,0.546417,0.546417,0.816406,2066,0.297959,0.297959,0.902344,2066,0.438349,0.438349,0.824219
2166,0.357379,0.357379,0.888021,2166,0.406777,0.406777,0.890625,2166,0.501672,0.501673,0.838542,2166,0.396678,0.396678,0.815104,2166,0.364774,0.364774,0.880208,2166,0.438143,0.438143,0.822917,2166,0.191138,0.191138,0.916667,2166,0.393851,0.393851,0.838542
2266,0.215557,0.215557,0.894531,2266,0.258101,0.258101,0.896484,2266,0.402132,0.402132,0.837891,2266,0.456754,0.456754,0.824219,2266,0.186323,0.186323,0.892578,2266,0.460907,0.460907,0.828125,2266,0.217874,0.217874,0.916016,2266,0.417152,0.417152,0.841797
2359,0.154244,0.154244,0.945313,2359,0.1612,0.1612,0.953125,2359,0.301254,0.301254,0.890625,2359,0.351492,0.351492,0.859375,2359,0.14978,0.14978,0.960938,2359,0.3165,0.3165,0.875,2359,0.138784,0.138784,0.960938,2359,0.426581,0.426581,0.84375
2459,0.262642,0.262642,0.917969,2459,0.332948,0.332948,0.902344,2459,0.413034,0.413034,0.871094,2459,0.306017,0.306017,0.867188,2459,0.148654,0.148654,0.945313,2459,0.501993,0.501993,0.859375,2459,0.206142,0.206143,0.945313,2459,0.384275,0.384275,0.851563
2559,0.217416,0.217416,0.919271,2559,0.170649,0.170649,0.916667,2559,0.36688,0.36688,0.867188,2559,0.316359,0.316359,0.864583,2559,0.14366,0.14366,0.945313,2559,0.274833,0.274833,0.872396,2559,0.104557,0.104557,0.953125,2559,0.28679,0.28679,0.861979
2659,0.127339,0.127339,0.927734,2659,0.178746,0.178746,0.921875,2659,0.356563,0.356563,0.873047,2659,0.490372,0.490372,0.857422,2659,0.232143,0.232143,0.9375,2659,0.354758,0.354758,0.882813,2659,0.160127,0.160128,0.951172,2659,0.342056,0.342056,0.869141
2752,0.181948,0.181948,0.945313,2752,0.13919,0.13919,0.960938,2752,0.208862,0.208862,0.914063,2752,0.396833,0.396833,0.875,2752,0.0333812,0.0333813,0.992188,2752,0.292313,0.292313,0.875,2752,0.104644,0.104644,0.976563,2752,0.29861,0.29861,0.875
2852,0.226136,0.226136,0.9375,2852,0.168666,0.168666,0.949219,2852,0.267167,0.267167,0.910156,2852,0.213345,0.213345,0.894531,2852,0.107587,0.107587,0.984375,2852,0.350968,0.350968,0.859375,2852,0.184038,0.184038,0.949219,2852,0.279836,0.279836,0.871094
2952,0.118381,0.118381,0.942708,2952,0.101271,0.101271,0.958333,2952,0.241096,0.241096,0.908854,2952,0.308102,0.308102,0.890625,2952,0.138004,0.138004,0.971354,2952,0.245735,0.245735,0.877604,2952,0.12,0.120001,0.953125,2952,0.305563,0.305563,0.880208
3052,0.0890282,0.0890282,0.951172,3052,0.0481877,0.0481877,0.964844,3052,0.225411,0.225411,0.910156,3052,0.373715,0.373715,0.896484,3052,0.0889925,0.0889926,0.96875,3052,0.253065,0.253065,0.882813,3052,0.123634,0.123634,0.953125,3052,0.262694,0.262695,0.890625
