step_mut33_150MR1bgr, cross_entropy_mut33_150MR1bgr, loss_mut33_150MR1bgr, train_accuracy_mut33_150MR1bgr,step_mut33_150MR1brg, cross_entropy_mut33_150MR1brg, loss_mut33_150MR1brg, train_accuracy_mut33_150MR1brg,step_mut33_150MR1gbr, cross_entropy_mut33_150MR1gbr, loss_mut33_150MR1gbr, train_accuracy_mut33_150MR1gbr,step_mut33_150MR1grb, cross_entropy_mut33_150MR1grb, loss_mut33_150MR1grb, train_accuracy_mut33_150MR1grb,step_mut33_150MR1rbg, cross_entropy_mut33_150MR1rbg, loss_mut33_150MR1rbg, train_accuracy_mut33_150MR1rbg,step_mut33_150MR1rgb, cross_entropy_mut33_150MR1rgb, loss_mut33_150MR1rgb, train_accuracy_mut33_150MR1rgb
1,2.66586,2.87793,0.0703125,1,2.6708,2.88288,0.0703125,1,2.6737,2.88577,0.0703125,1,2.65779,2.86986,0.0703125,1,2.65421,2.86629,0.0703125,1,2.64588,2.85796,0.0703125
101,2.41294,2.62501,0.105469,101,2.38537,2.59744,0.105469,101,2.4043,2.61637,0.105469,101,2.41491,2.62698,0.105469,101,2.40035,2.61243,0.105469,101,2.42564,2.63771,0.105469
201,2.54376,2.75583,0.0963542,201,2.55815,2.77023,0.0963542,201,2.54186,2.75393,0.0963542,201,2.56059,2.77267,0.0963542,201,2.54152,2.75359,0.0963542,201,2.56885,2.78092,0.0963542
301,2.51777,2.72984,0.101563,301,2.521,2.73307,0.101563,301,2.52719,2.73927,0.101563,301,2.52535,2.73742,0.101563,301,2.53689,2.74896,0.101563,301,2.51893,2.73101,0.101563
394,2.64408,2.85615,0.0703125,394,2.6433,2.85538,0.0703125,394,2.64641,2.85848,0.0703125,394,2.6341,2.84617,0.0703125,394,2.63195,2.84402,0.0703125,394,2.61967,2.83174,0.0703125
494,2.39659,2.60866,0.105469,494,2.37102,2.58309,0.105469,494,2.38248,2.59455,0.105469,494,2.39901,2.61108,0.105469,494,2.37667,2.58874,0.105469,494,2.40934,2.62141,0.105469
594,2.52455,2.73662,0.0963542,594,2.53597,2.74803,0.0963542,594,2.51818,2.73025,0.0963542,594,2.53821,2.75028,0.0963542,594,2.51289,2.72496,0.0963542,594,2.54661,2.75867,0.0963542
694,2.49834,2.71041,0.101563,694,2.50107,2.71314,0.101563,694,2.50718,2.71925,0.101563,694,2.49953,2.71159,0.101563,694,2.5186,2.73066,0.101563,694,2.49749,2.70956,0.101563
787,2.62361,2.83567,0.0703125,787,2.61772,2.82978,0.0703125,787,2.61798,2.83004,0.0703125,787,2.61112,2.82318,0.0703125,787,2.61122,2.82328,0.0703125,787,2.59423,2.8063,0.0703125
887,2.38243,2.59449,0.105469,887,2.35798,2.57004,0.105469,887,2.35873,2.57079,0.105469,887,2.38522,2.59729,0.105469,887,2.35248,2.56454,0.105469,887,2.39434,2.6064,0.105469
987,2.50637,2.71843,0.0963542,987,2.5153,2.72736,0.0963542,987,2.48935,2.70142,0.0963542,987,2.51746,2.72952,0.0963542,987,2.48778,2.69984,0.0963542,987,2.5264,2.73846,0.0963542
1087,2.48043,2.69249,0.101563,1087,2.48281,2.69487,0.101563,1087,2.48729,2.69935,0.101563,1087,2.47558,2.68764,0.101563,1087,2.50284,2.7149,0.101563,1087,2.47649,2.68855,0.101563
1180,2.60432,2.81638,0.0703125,1180,2.59399,2.80604,0.0703125,1180,2.58804,2.8001,0.0703125,1180,2.58952,2.80158,0.0703125,1180,2.5902,2.80226,0.0703125,1180,2.56992,2.78197,0.0703125
1280,2.36949,2.58154,0.105469,1280,2.3463,2.55836,0.105469,1280,2.33267,2.54473,0.109375,1280,2.3723,2.58436,0.105469,1280,2.32809,2.54015,0.105469,1280,2.38109,2.59314,0.105469
1380,2.48931,2.70137,0.0963542,1380,2.49639,2.70845,0.0963542,1380,2.46122,2.67327,0.0989583,1380,2.49831,2.71036,0.0963542,1380,2.46168,2.67374,0.0963542,1380,2.50685,2.71891,0.0963542
1480,2.46387,2.67592,0.101563,1480,2.465,2.67705,0.101563,1480,2.47075,2.68281,0.105469,1480,2.45408,2.66613,0.101563,1480,2.48597,2.69803,0.101563,1480,2.45629,2.66835,0.101563
1573,2.58616,2.79821,0.0703125,1573,2.5721,2.78416,0.0703125,1573,2.56105,2.7731,0.0703125,1573,2.57036,2.78241,0.0703125,1573,2.56951,2.78156,0.0703125,1573,2.54764,2.75969,0.0703125
1673,2.35704,2.56909,0.105469,1673,2.33641,2.54846,0.105469,1673,2.30718,2.51923,0.109375,1673,2.36143,2.57348,0.105469,1673,2.3025,2.51455,0.105469,1673,2.37009,2.58214,0.105469
1773,2.47374,2.68579,0.0963542,1773,2.47741,2.68946,0.0963542,1773,2.43763,2.64968,0.101563,1773,2.47925,2.6913,0.0963542,1773,2.43808,2.65013,0.0989583,1773,2.48728,2.69933,0.0963542
1873,2.44842,2.66047,0.101563,1873,2.44637,2.65842,0.101563,1873,2.45626,2.66831,0.105469,1873,2.43352,2.64557,0.101563,1873,2.46944,2.68149,0.103516,1873,2.43501,2.64706,0.101563
1966,2.56918,2.78123,0.0703125,1966,2.55149,2.76354,0.0703125,1966,2.53947,2.75152,0.078125,1966,2.5507,2.76275,0.0703125,1966,2.54848,2.76053,0.0703125,1966,2.52557,2.73762,0.0703125
2066,2.34537,2.55742,0.105469,2066,2.32698,2.53903,0.105469,2066,2.28776,2.49981,0.121094,2066,2.35107,2.56312,0.105469,2066,2.28097,2.49302,0.113281,2066,2.3597,2.57174,0.105469
