step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1,2.64588,2.85796,0.0703125,1,2.64064,2.85272,0.0703125,1,2.64216,2.85424,0.0703125,1,2.67597,2.88805,0.0703125,1,2.63592,2.848,0.0703125,1,2.6468,2.85887,0.0703125,1,2.65588,2.86795,0.0703125,1,2.63517,2.84725,0.0703125
101,1.66459,1.87697,0.226563,101,1.69251,1.90554,0.214844,101,1.84139,2.05318,0.167969,101,1.66398,1.87628,0.214844,101,1.81696,2.02924,0.191406,101,1.81239,2.02383,0.175781,101,1.6962,1.90833,0.222656,101,1.82342,2.03397,0.152344
201,1.35468,1.56681,0.315104,201,1.38555,1.59846,0.302083,201,1.5793,1.78872,0.244792,201,1.47579,1.68694,0.302083,201,1.47272,1.68394,0.270833,201,1.48756,1.69727,0.257813,201,1.28716,1.49909,0.317708,201,1.59952,1.80788,0.221354
301,1.20472,1.41698,0.386719,301,1.28071,1.49379,0.357422,301,1.43532,1.64331,0.300781,301,1.36677,1.57707,0.359375,301,1.31843,1.53072,0.341797,301,1.51661,1.72523,0.322266,301,1.3259,1.53844,0.369141,301,1.48597,1.69327,0.291016
394,1.00304,1.21636,0.632813,394,0.988052,1.20178,0.632813,394,1.28725,1.4941,0.539063,394,1.20892,1.41912,0.554688,394,1.13185,1.34508,0.625,394,1.30201,1.50994,0.515625,394,1.07532,1.28866,0.625,394,1.22813,1.43467,0.546875
494,1.1391,1.3542,0.59375,494,1.11023,1.32541,0.625,494,1.27525,1.48214,0.523438,494,1.07831,1.28939,0.570313,494,1.08731,1.30231,0.601563,494,1.27951,1.4878,0.519531,494,1.11367,1.32846,0.601563,494,1.28003,1.4869,0.53125
594,1.07496,1.29216,0.604167,594,0.974584,1.19112,0.635417,594,1.2427,1.44996,0.515625,594,1.15629,1.36821,0.570313,594,1.0593,1.2762,0.59375,594,1.29929,1.50852,0.492188,594,0.964975,1.18151,0.614583,594,1.19862,1.40667,0.544271
694,0.959194,1.17919,0.626953,694,1.00667,1.22499,0.638672,694,1.07463,1.28266,0.539063,694,1.02671,1.24054,0.574219,694,0.942511,1.1615,0.607422,694,1.09137,1.30151,0.525391,694,1.06867,1.28747,0.619141,694,1.19722,1.40687,0.554688
787,0.679203,0.901899,0.765625,787,0.594576,0.815346,0.8125,787,0.974707,1.18359,0.65625,787,0.998884,1.21471,0.648438,787,0.730523,0.951884,0.71875,787,0.881368,1.09245,0.710938,787,0.604335,0.825576,0.835938,787,0.977298,1.18881,0.632813
887,0.782436,1.00856,0.726563,887,0.893791,1.11713,0.742188,887,1.12643,1.33696,0.617188,887,0.923222,1.14113,0.65625,887,0.894964,1.11904,0.699219,887,1.17173,1.38451,0.625,887,0.789658,1.01449,0.777344,887,0.997121,1.21096,0.613281
987,0.740008,0.969719,0.734375,987,0.840729,1.0667,0.716146,987,1.00197,1.21444,0.625,987,0.893359,1.11363,0.658854,987,0.750987,0.9782,0.695313,987,1.09122,1.3055,0.617188,987,0.758614,0.986741,0.757813,987,0.923818,1.14003,0.619792
