step_mut48_5MR1bgr, cross_entropy_mut48_5MR1bgr, loss_mut48_5MR1bgr, train_accuracy_mut48_5MR1bgr,step_mut48_5MR1brg, cross_entropy_mut48_5MR1brg, loss_mut48_5MR1brg, train_accuracy_mut48_5MR1brg,step_mut48_5MR1gbr, cross_entropy_mut48_5MR1gbr, loss_mut48_5MR1gbr, train_accuracy_mut48_5MR1gbr,step_mut48_5MR1grb, cross_entropy_mut48_5MR1grb, loss_mut48_5MR1grb, train_accuracy_mut48_5MR1grb,step_mut48_5MR1rbg, cross_entropy_mut48_5MR1rbg, loss_mut48_5MR1rbg, train_accuracy_mut48_5MR1rbg,step_mut48_5MR1rgb, cross_entropy_mut48_5MR1rgb, loss_mut48_5MR1rgb, train_accuracy_mut48_5MR1rgb
1,2.68847,2.90054,0.0703125,1,2.69147,2.90354,0.0703125,1,2.69387,2.90595,0.0703125,1,2.67033,2.8824,0.0703125,1,2.6807,2.89278,0.0703125,1,2.66497,2.87705,0.0703125
41,1.81368,2.02715,0.359375,41,1.71844,1.9326,0.414063,41,1.74763,1.96167,0.257813,41,1.83836,2.05203,0.328125,41,1.83262,2.04641,0.3125,41,1.77396,1.98699,0.273438
81,1.67942,1.89225,0.429688,81,1.61821,1.83186,0.34375,81,1.74034,1.95367,0.367188,81,1.61004,1.82317,0.414063,81,1.68774,1.901,0.40625,81,1.66771,1.88015,0.367188
121,1.60091,1.81288,0.40625,121,1.59013,1.80272,0.359375,121,1.51893,1.73147,0.453125,121,1.54282,1.7552,0.4375,121,1.5502,1.76214,0.476563,121,1.51176,1.72332,0.445313
161,1.41605,1.62775,0.476563,161,1.46184,1.67378,0.484375,161,1.48433,1.69625,0.507813,161,1.48494,1.69676,0.453125,161,1.5108,1.72174,0.476563,161,1.39097,1.60231,0.515625
