step, cross_entropy, loss, train_accuracy
1,2.68847,2.90054,0.0703125
41,1.81368,2.02715,0.359375
81,1.67942,1.89225,0.429688
121,1.60091,1.81288,0.40625
161,1.41605,1.62775,0.476563
