step, cross_entropy, loss, train_accuracy
1,2.69387,2.90595,0.0703125
41,1.74763,1.96167,0.257813
81,1.74034,1.95367,0.367188
121,1.51893,1.73147,0.453125
161,1.48433,1.69625,0.507813
