step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1966,0.224746,0.491842,0.929688,1966,0.266357,0.539606,0.914063,1966,0.556748,0.812497,0.8125,1966,0.510363,0.768405,0.820313,1966,0.293169,0.559662,0.898438,1966,0.493736,0.752614,0.796875,1966,0.256245,0.524084,0.890625,1966,0.50692,0.769612,0.820313
2066,0.493212,0.765304,0.878906,2066,0.451879,0.729727,0.871094,2066,0.574379,0.836023,0.78125,2066,0.62949,0.893494,0.796875,2066,0.500002,0.77095,0.851563,2066,0.545947,0.811266,0.789063,2066,0.513465,0.785901,0.855469,2066,0.507728,0.776228,0.816406
2166,0.273842,0.550285,0.885417,2166,0.381788,0.663363,0.864583,2166,0.484166,0.751852,0.791667,2166,0.453059,0.723339,0.804688,2166,0.298523,0.574117,0.867188,2166,0.533456,0.805045,0.786458,2166,0.317562,0.594549,0.867188,2166,0.446793,0.721732,0.825521
2266,0.350558,0.631168,0.884766,2266,0.212516,0.499005,0.882813,2266,0.428628,0.70196,0.798828,2266,0.472226,0.749308,0.808594,2266,0.429884,0.709478,0.869141,2266,0.393808,0.672354,0.800781,2266,0.212371,0.493966,0.878906,2266,0.485557,0.765923,0.832031
2359,0.214584,0.499299,0.921875,2359,0.191082,0.481734,0.914063,2359,0.543181,0.822445,0.8125,2359,0.3816,0.664915,0.875,2359,0.241665,0.525554,0.921875,2359,0.385793,0.670354,0.90625,2359,0.18721,0.471711,0.9375,2359,0.417568,0.704316,0.820313
2459,0.260506,0.549965,0.917969,2459,0.302853,0.597656,0.890625,2459,0.525254,0.810496,0.796875,2459,0.51921,0.809617,0.855469,2459,0.266025,0.553978,0.917969,2459,0.344593,0.63519,0.882813,2459,0.351274,0.640632,0.914063,2459,0.421547,0.714268,0.828125
2559,0.161679,0.453948,0.929688,2559,0.313114,0.61142,0.895833,2559,0.428002,0.719825,0.817708,2559,0.381846,0.678616,0.864583,2559,0.184356,0.476416,0.924479,2559,0.401807,0.699147,0.880208,2559,0.263538,0.555764,0.911458,2559,0.409646,0.708582,0.841146
2659,0.276692,0.572014,0.923828,2659,0.206069,0.507469,0.900391,2659,0.428134,0.726271,0.830078,2659,0.579318,0.882388,0.84375,2659,0.321437,0.616397,0.917969,2659,0.315625,0.619156,0.878906,2659,0.223066,0.519287,0.910156,2659,0.419297,0.724791,0.849609
2752,0.129707,0.427969,0.960938,2752,0.213013,0.517322,0.898438,2752,0.43315,0.736633,0.828125,2752,0.275791,0.585583,0.898438,2752,0.170193,0.468928,0.921875,2752,0.344384,0.654043,0.882813,2752,0.0947033,0.394119,0.96875,2752,0.318921,0.630389,0.898438
2852,0.258667,0.559609,0.945313,2852,0.220997,0.52863,0.921875,2852,0.508279,0.817487,0.824219,2852,0.50306,0.818476,0.863281,2852,0.319804,0.621297,0.898438,2852,0.310169,0.627012,0.871094,2852,0.303163,0.604777,0.90625,2852,0.41973,0.736316,0.863281
2952,0.0924568,0.395944,0.953125,2952,0.253827,0.565289,0.924479,2952,0.305051,0.620522,0.838542,2952,0.272721,0.593454,0.882813,2952,0.289861,0.594818,0.901042,2952,0.464757,0.786879,0.867188,2952,0.195331,0.498989,0.916667,2952,0.339728,0.662988,0.864583
3052,0.239973,0.546546,0.933594,3052,0.136725,0.449801,0.933594,3052,0.318791,0.640004,0.855469,3052,0.405911,0.732559,0.878906,3052,0.185047,0.492677,0.912109,3052,0.318102,0.646151,0.863281,3052,0.160378,0.467193,0.925781,3052,0.494991,0.823875,0.867188
3145,0.113801,0.42266,0.976563,3145,0.137678,0.452577,0.9375,3145,0.41233,0.739344,0.851563,3145,0.265655,0.597368,0.882813,3145,0.219788,0.529808,0.929688,3145,0.349051,0.682285,0.875,3145,0.119815,0.429348,0.953125,3145,0.304986,0.639214,0.890625
